__MOL_ID__	ACTIVITY	QikProp_#stars	QikProp_#amine	QikProp_#amide	QikProp_#rotor	QikProp_CNS	QikProp_mol_MW	QikProp_dipole	QikProp_SASA	QikProp_FOSA	QikProp_FISA	QikProp_PISA	QikProp_WPSA	QikProp_volume	QikProp_donorHB	QikProp_accptHB	QikProp_dip^2/V	QikProp_ACxDN^.5/SA	QikProp_glob	QikProp_QPpolrz	QikProp_QPlogPC16	QikProp_QPlogPoct	QikProp_QPlogPw	QikProp_QPlogPo/w	QikProp_QPlogS	QikProp_CIQPlogS	QikProp_QPlogHERG	QikProp_QPPCaco	QikProp_QPlogBB	QikProp_QPPMDCK	QikProp_QPlogKp	QikProp_IP(eV)	QikProp_EA(eV)	QikProp_#metab	QikProp_QPlogKhsa	QikProp_HumanOralAbsorption	QikProp_PercentHumanOralAbsorption	QikProp_SAfluorine	QikProp_SAamideO	QikProp_PSA	QikProp_#NandO	QikProp_RuleOfFive	QikProp_#ringatoms	QikProp_#in34	QikProp_#in56	QikProp_#noncon	QikProp_#nonHatm	QikProp_RuleOfThree	QikProp_ACxDN^.5/SAxSASA/MW
2-3m	7.54	2	1	0	9	0	476.632	6.251	862.068	254.758	110.347	496.962	0	1542.004	1	8.5	0.0253444	0.00986	0.7487681	54.524	17.427	24.567	13.776	4.644	-6.002	-5.551	-8.693	222.013	-0.893	107.582	-3.001	9.33	0.918	3	0.681	3	96.135	0	0	77.075	5	0	24	0	24	5	34	1	0.0178334
2-3n	6.1	0	1	0	6	1	323.437	3.884	663.703	227.562	72.159	363.982	0	1139.308	1	5.5	0.0132435	0.0082868	0.7948507	39.065	12.106	17.18	9.842	3.499	-3.858	-3.309	-7.314	511.108	-0.161	264.952	-3.054	9.233	0.498	3	0.374	3	95.908	0	0	54.122	4	0	18	0	18	5	24	0	0.0170048
2-3o	7.16	0	1	0	6	1	323.437	2.888	655.5	223.349	79.153	352.997	0	1133.655	1	6	0.0073554	0.0091533	0.8021332	38.733	12.016	17.299	10.287	3.315	-3.616	-3.115	-7.143	438.726	-0.22	224.638	-3.221	9.29	0.574	4	0.262	3	93.645	0	0	54.472	4	0	18	0	18	5	24	0	0.0185507
2-3p	7.41	0	1	0	6	1	323.437	4.482	655.549	223.425	79.281	352.844	0	1133.826	1	6	0.0177181	0.0091526	0.8021541	38.739	12.017	17.444	10.287	3.315	-3.616	-3.115	-7.142	437.505	-0.221	223.962	-3.224	9.316	0.517	4	0.262	3	93.623	0	0	54.581	4	0	18	0	18	5	24	0	0.0185507
2-3r	5.8	0	1	1	6	1	328.497	4.694	686.21	455.462	43.261	187.487	0	1200.187	1	4.5	0.0183562	0.0065578	0.7959285	39.815	11.252	16.564	9.319	3.692	-4.115	-2.769	-5.08	614.299	0.145	524.053	-3.143	9.267	-0.327	3	0.422	3	100	0	24.394	40.58	3	0	18	0	18	11	24	0	0.0136988
2-9	6.28	0	1	0	7	1	321.461	3.189	659.654	239.834	39.428	380.392	0	1155.545	0	4	0.0088022	0	0.80731	39.229	11.911	14.799	6.558	4.413	-4.264	-3.751	-7.19	1044.5	0.137	573.677	-2.297	9.17	0.465	3	0.605	3	100	0	0	31.044	2	0	18	0	18	5	24	0	0
3-12a	7.89	0	1	0	6	1	377.482	4.777	677.628	366.725	54.357	256.546	0	1221.058	0	5.5	0.0186864	0	0.8153256	41.31	11.761	16.432	7.559	3.98	-3.982	-4.36	-6.47	753.926	0.055	403.308	-3.104	8.844	0.566	6	0.437	3	100	0	0	51.666	4	0	21	0	21	6	28	0	0
3-13a	4.3	0	0	0	5	0	393.482	5.696	682.214	353.243	85.572	243.399	0	1232.21	0	6.5	0.0263295	0	0.8147681	42.273	11.994	17.582	8.898	3.861	-4.928	-5.219	-5.69	1529.039	-0.597	782.861	-1.759	8.937	0.505	4	0.244	3	100	0	0	71.445	5	0	21	0	21	7	29	0	0
3-13b	5.27	0	1	0	4	1	289.374	5.029	536.996	400.652	76.522	59.822	0	944.512	1	5	0.0267795	0.0093111	0.86696	29.648	8.221	13.603	7.446	2.145	-2.414	-2.514	-4.696	464.666	0.042	239.028	-4.398	8.877	0.434	4	0.072	3	87.242	0	0	60.535	4	0	15	0	15	7	21	0	0.0172788
3-13c	5.68	0	1	0	4	1	333.472	4.1	642.171	253.402	38.213	350.556	0	1144.742	0	4	0.0146875	0	0.8241119	40.438	11.585	15.413	6.967	4.434	-4.421	-4.052	-6.776	1072.574	0.346	590.362	-2.667	9.226	0.387	4	0.701	3	100	0	0	30.413	2	0	22	0	22	8	25	0	0
3-13d	4.82	0	1	0	4	2	347.499	3.438	650.509	289.291	27.967	333.25	0	1182.151	0	4	0.0099965	0	0.831178	41.77	11.745	15.775	6.799	4.729	-4.579	-4.045	-6.579	1341.48	0.451	751.853	-2.54	9.178	0.098	4	0.81	3	100	0	0	25.386	2	0	23	0	18	9	26	0	0
3-13e_E2020	8.24	0	1	0	6	1	379.498	4.31	675.463	379.692	48.466	247.305	0	1224.143	0	5.5	0.0151726	0	0.8193162	41.345	11.679	16.369	7.45	4.03	-3.941	-4.338	-6.361	857.426	0.119	463.472	-3.028	8.871	0.427	6	0.446	3	100	0	0	50.444	4	0	21	0	21	7	28	0	0
3-13f	7.09	0	1	0	5	1	349.472	5.746	650.324	299.786	48.531	302.006	0	1165.459	0	4.75	0.0283297	0	0.823569	40.161	11.512	15.851	7.244	4.076	-4.02	-4.048	-6.553	856.208	0.184	462.76	-2.933	9.209	0.503	5	0.518	3	100	0	0	42.369	3	0	21	0	21	7	26	0	0
3-13g	8.19	0	1	0	5	1	349.472	3.446	650.118	299.776	48.472	301.87	0	1165.08	0	4.75	0.0101895	0	0.8236512	40.145	11.507	15.596	7.243	4.074	-4.016	-4.048	-6.551	857.312	0.184	463.405	-2.932	9.242	0.378	5	0.517	3	100	0	0	42.336	3	0	21	0	21	7	26	0	0
3-13h	7.92	0	1	0	5	1	349.472	4.741	655.482	300.001	48.535	306.947	0	1168.757	0	4.75	0.0192355	0	0.8186287	40.34	11.579	15.779	7.29	4.103	-4.118	-4.048	-6.657	856.145	0.178	462.723	-2.915	9.221	0.504	5	0.528	3	100	0	0	42.081	3	0	21	0	21	7	26	0	0
3-13i	7.07	0	1	0	6	1	379.498	6.264	684.069	383.187	34.874	266.008	0	1237.58	0	5.5	0.0317022	0	0.8149184	42.062	11.846	16.796	7.506	4.234	-4.104	-4.338	-6.522	1153.689	0.25	638.764	-2.712	9.158	0.571	6	0.485	3	100	0	0	48.05	4	0	21	0	21	7	28	0	0
3-13j	7.6	0	1	0	6	1	379.498	4.471	683.667	379.6	45.1	258.968	0	1235.818	0	5.5	0.0161769	0	0.8146226	41.924	11.852	16.572	7.527	4.143	-4.097	-4.338	-6.493	922.819	0.147	501.793	-2.925	9.09	0.292	6	0.48	3	100	0	0	49.301	4	0	21	0	21	7	28	0	0
3-13k	7.44	0	1	0	6	1	379.498	5.615	683.865	379.801	45.159	258.904	0	1233.948	0	5.5	0.0255488	0	0.813566	41.849	11.836	16.67	7.527	4.131	-4.1	-4.338	-6.51	921.631	0.146	501.095	-2.926	8.776	0.462	6	0.474	3	100	0	0	49.042	4	0	21	0	21	7	28	0	0
3-13l	7.7	0	1	0	6	1	379.498	3.348	686.551	373.653	48.471	264.426	0	1240.309	0	5.5	0.0090382	0	0.8131655	42.156	11.958	16.577	7.594	4.156	-4.151	-4.338	-6.542	857.324	0.112	463.412	-2.968	9.246	0.461	6	0.493	3	100	0	0	49.992	4	0	21	0	21	7	28	0	0
3-13m	7.89	0	1	0	7	1	409.524	6.11	722.787	466.044	35.464	221.28	0	1324.414	0	6.25	0.0281894	0	0.8069322	44.468	12.358	17.887	7.817	4.379	-4.282	-4.628	-6.437	1138.931	0.177	629.936	-2.784	9.276	0.505	7	0.494	3	100	0	0	55.825	5	0	21	0	21	7	30	1	0
3-13n	5.48	0	1	0	4	1	365.471	3.592	640.43	354.817	38.419	247.194	0	1160.783	0	5.5	0.0111176	0	0.8340546	40.093	11.014	15.929	7.738	3.686	-3.603	-4.04	-6.122	1067.762	0.353	587.499	-3.035	8.886	0.454	6	0.347	3	100	0	0	47.213	4	0	21	0	21	7	27	0	0
3-13o	7.52	0	1	0	7	1	393.525	3.969	705.287	420.076	37.226	247.985	0	1279.537	0	5.5	0.0123089	0	0.8081672	42.927	12.139	16.767	7.23	4.47	-4.343	-4.636	-6.545	1095.935	0.16	604.272	-2.723	8.871	0.434	6	0.564	3	100	0	0	47.452	4	0	21	0	21	7	29	0	0
3-15a	6.32	0	1	0	6	1	379.498	3.725	679.62	389.599	46.999	243.021	0	1230.782	0	5.5	0.0112746	0	0.8172468	41.57	11.703	16.374	7.421	4.079	-4.02	-4.338	-6.374	885.34	0.131	479.802	-3.016	8.835	0.413	6	0.465	3	100	0	0	49.32	4	0	21	0	21	7	28	0	0
3-15b	7.03	0	2	0	6	2	380.486	4.079	671.35	375.185	48.86	247.305	0	1214.928	0	7.5	0.0136949	0	0.8201939	40.977	11.595	17.302	9.413	2.466	-1.596	-2.448	-7.073	212.013	0.515	113.236	-5.098	8.847	0.424	7	-0.116	2	83.023	0	0	54.954	5	0	21	0	21	6	28	1	0
3-16a	8.0	0	1	0	6	1	393.525	4.101	745.464	486.803	46.964	211.697	0	1319.257	0	5.5	0.0127496	0	0.7803535	44.812	12.414	17.342	7.367	4.619	-5.268	-4.636	-6.822	886.016	0.086	480.198	-3.126	8.873	0.429	7	0.722	3	100	0	0	48.761	4	0	21	0	21	7	29	1	0
3-16b	8.7	0	1	0	6	1	393.525	4.135	706.994	467.566	48.466	190.961	0	1283.167	0	5.5	0.0133235	0	0.8077401	43.169	11.851	16.862	7.143	4.349	-4.539	-4.636	-6.28	857.43	0.105	463.474	-3.227	8.868	0.423	7	0.617	3	100	0	0	50.444	4	0	21	0	21	7	29	1	0
3-16c	7.4	0	1	0	6	1	393.525	4.244	706.994	467.567	48.466	190.961	0	1283.168	0	5.5	0.0140396	0	0.8077399	43.169	11.851	16.872	7.143	4.349	-4.539	-4.636	-6.28	857.426	0.105	463.472	-3.227	8.867	0.422	7	0.617	3	100	0	0	50.444	4	0	21	0	21	7	29	1	0
3-16d	6.8	0	1	0	7	1	424.496	8.561	703.213	375.574	116.131	211.508	0	1284.038	0	6.5	0.0570833	0	0.8124504	42.758	12.471	18.214	8.498	3.424	-3.781	-4.83	-6.302	195.672	-0.633	93.855	-4.305	8.879	1.053	7	0.31	3	88.005	0	0	87.266	7	0	21	0	21	7	31	1	0
3-16e	8.4	0	1	0	7	0	424.496	9.689	714.341	379.691	145.305	189.345	0	1296.962	0	6.5	0.0723782	0	0.8051511	43.064	12.657	18.613	8.573	3.28	-3.991	-4.83	-6.314	103.484	-0.954	47.144	-4.921	8.949	1.13	7	0.347	2	82.213	0	0	95.047	7	0	21	0	21	7	31	1	0
3-16f	7.0	0	1	0	7	0	424.496	9.125	714.341	379.692	145.304	189.345	0	1296.962	0	6.5	0.0641966	0	0.8051513	43.064	12.657	18.5	8.573	3.28	-3.991	-4.83	-6.314	103.487	-0.954	47.145	-4.921	8.954	1.154	7	0.347	2	82.213	0	0	95.086	7	0	21	0	21	7	31	1	0
3-16g	8.05	0	1	0	6	1	385.545	4.194	705.611	598.84	46.951	59.82	0	1282.427	0	5.5	0.0137177	0	0.8090119	41.887	10.906	16.204	6.237	4.201	-4.512	-4.078	-5.634	886.266	0.122	480.344	-3.661	8.875	0.433	5	0.615	3	100	0	0	48.894	4	0	21	0	21	13	28	0	0
3-16h	6.74	0	1	0	7	1	393.525	4.198	716.952	413.128	49.995	253.829	0	1293.638	0	5.5	0.013624	0	0.8008483	43.547	12.419	17.048	7.385	4.481	-4.565	-4.636	-6.691	829.276	0.02	447.047	-2.937	8.88	0.438	6	0.605	3	100	0	0	50.52	4	0	21	0	21	7	29	0	0
3-17	6.52	0	1	0	7	1	381.514	3.853	682.903	392.184	48.276	242.443	0	1237.29	1	5.2	0.0120014	0.0076146	0.816182	41.183	11.997	17.51	8.383	4.295	-4.436	-4.584	-6.389	860.987	0.057	465.553	-2.946	8.551	-0.291	6	0.667	3	100	0	0	44.207	4	0	21	0	21	8	28	0	0.01363
3-18	5.36	1	1	0	6	2	363.499	2.595	669.698	387.808	1.515	280.374	0	1207.208	0	3.5	0.0055771	0	0.8187305	40.983	11.423	14.844	5.372	5.257	-4.879	-4.991	-6.528	2390.177	0.585	1403.679	-2.046	8.407	0.038	6	0.932	3	100	0	0	21.916	3	1	21	0	21	6	27	0	0
3-9	6.82	0	1	0	4	1	319.446	4.292	625.388	220.008	48.54	356.84	0	1104.969	0	4	0.0166689	0	0.8265108	38.906	11.324	14.963	7.039	4.111	-4.103	-3.759	-6.767	856.035	0.247	462.659	-2.836	9.262	0.462	4	0.586	3	100	0	0	33.958	2	0	21	0	21	7	24	0	0
