__MOL_ID__	ACTIVITY	moeGao_Abra_L	moeGao_Abra_R	moeGao_Abra_acidity	moeGao_Abra_basicity	moeGao_Abra_pi	moe2D_BCUT_PEOE_0	moe2D_BCUT_PEOE_1	moe2D_BCUT_PEOE_2	moe2D_BCUT_PEOE_3	moe2D_BCUT_SLOGP_0	moe2D_BCUT_SLOGP_1	moe2D_BCUT_SLOGP_2	moe2D_BCUT_SLOGP_3	moe2D_BCUT_SMR_0	moe2D_BCUT_SMR_1	moe2D_BCUT_SMR_2	moe2D_BCUT_SMR_3	moe2D_FCharge	moe2D_GCUT_PEOE_0	moe2D_GCUT_PEOE_1	moe2D_GCUT_PEOE_2	moe2D_GCUT_PEOE_3	moe2D_GCUT_SLOGP_0	moe2D_GCUT_SLOGP_1	moe2D_GCUT_SLOGP_2	moe2D_GCUT_SLOGP_3	moe2D_GCUT_SMR_0	moe2D_GCUT_SMR_1	moe2D_GCUT_SMR_2	moe2D_GCUT_SMR_3	moe2D_Kier1	moe2D_Kier2	moe2D_Kier3	moe2D_KierA1	moe2D_KierA2	moe2D_KierA3	moe2D_KierFlex	moe2D_PEOE_PC+	moe2D_PEOE_PC-	moe2D_PEOE_RPC+	moe2D_PEOE_RPC-	moe2D_PEOE_VSA+0	moe2D_PEOE_VSA+1	moe2D_PEOE_VSA+2	moe2D_PEOE_VSA+3	moe2D_PEOE_VSA+4	moe2D_PEOE_VSA+5	moe2D_PEOE_VSA+6	moe2D_PEOE_VSA-0	moe2D_PEOE_VSA-1	moe2D_PEOE_VSA-2	moe2D_PEOE_VSA-4	moe2D_PEOE_VSA-5	moe2D_PEOE_VSA-6	moe2D_PEOE_VSA_FHYD	moe2D_PEOE_VSA_FNEG	moe2D_PEOE_VSA_FPNEG	moe2D_PEOE_VSA_FPOL	moe2D_PEOE_VSA_FPOS	moe2D_PEOE_VSA_FPPOS	moe2D_PEOE_VSA_HYD	moe2D_PEOE_VSA_NEG	moe2D_PEOE_VSA_PNEG	moe2D_PEOE_VSA_POL	moe2D_PEOE_VSA_POS	moe2D_PEOE_VSA_PPOS	moe2D_Q_PC+	moe2D_Q_PC-	moe2D_Q_RPC+	moe2D_Q_RPC-	moe2D_Q_VSA_FHYD	moe2D_Q_VSA_FNEG	moe2D_Q_VSA_FPNEG	moe2D_Q_VSA_FPOL	moe2D_Q_VSA_FPOS	moe2D_Q_VSA_FPPOS	moe2D_Q_VSA_HYD	moe2D_Q_VSA_NEG	moe2D_Q_VSA_PNEG	moe2D_Q_VSA_POL	moe2D_Q_VSA_POS	moe2D_Q_VSA_PPOS	moe2D_SMR	moe2D_SMR_VSA0	moe2D_SMR_VSA1	moe2D_SMR_VSA2	moe2D_SMR_VSA3	moe2D_SMR_VSA4	moe2D_SMR_VSA5	moe2D_SMR_VSA6	moe2D_SMR_VSA7	moe2D_SlogP	moe2D_SlogP_VSA0	moe2D_SlogP_VSA1	moe2D_SlogP_VSA2	moe2D_SlogP_VSA3	moe2D_SlogP_VSA4	moe2D_SlogP_VSA5	moe2D_SlogP_VSA6	moe2D_SlogP_VSA7	moe2D_SlogP_VSA8	moe2D_SlogP_VSA9	moe2D_TPSA	moe2D_VAdjEq	moe2D_VAdjMa	moe2D_VDistEq	moe2D_VDistMa	moe2D_Weight	moe2D_a_IC	moe2D_a_ICM	moe2D_a_acc	moe2D_a_aro	moe2D_a_base	moe2D_a_count	moe2D_a_don	moe2D_a_heavy	moe2D_a_hyd	moe2D_a_nC	moe2D_a_nCl	moe2D_a_nF	moe2D_a_nH	moe2D_a_nN	moe2D_a_nO	moe2D_a_nS	moe2D_apol	moe2D_b_1rotN	moe2D_b_1rotR	moe2D_b_ar	moe2D_b_count	moe2D_b_double	moe2D_b_heavy	moe2D_b_rotN	moe2D_b_rotR	moe2D_b_single	moe2D_balabanJ	moe2D_bpol	moe2D_chi0	moe2D_chi0_C	moe2D_chi0v	moe2D_chi0v_C	moe2D_chi1	moe2D_chi1_C	moe2D_chi1v	moe2D_chi1v_C	moeGao_chi2_C	moeGao_chi2v_C	moeGao_chi3c	moeGao_chi3c_C	moeGao_chi3cv	moeGao_chi3cv_C	moeGao_chi3p	moeGao_chi3p_C	moeGao_chi3pv	moeGao_chi3pv_C	moeGao_chi4c	moeGao_chi4c_C	moeGao_chi4ca	moeGao_chi4ca_C	moeGao_chi4cav	moeGao_chi4cav_C	moeGao_chi4cv	moeGao_chi4cv_C	moeGao_chi4pc	moeGao_chi4pc_C	moeGao_chi4pcv	moeGao_chi4pcv_C	moe2D_chiral	moe2D_density	moe2D_diameter	moe2D_kS_aaCH	moe2D_kS_aaN	moe2D_kS_aasC	moe2D_kS_dO	moe2D_kS_ddsN	moe2D_kS_ddssS	moe2D_kS_dsCH	moe2D_kS_dsN	moe2D_kS_dssC	moe2D_kS_sCH3	moe2D_kS_sCl	moe2D_kS_sF	moe2D_kS_sNH2	moe2D_kS_sOH	moe2D_kS_ssCH2	moe2D_kS_ssNH	moe2D_kS_ssO	moe2D_kS_sssCH	moe2D_kS_sssN	moe2D_kS_ssssC	moe2D_lip_acc	moe2D_lip_don	moe2D_lip_druglike	moe2D_lip_violation	moe2D_logP(o/w)	moe2D_logS	moe2D_mr	moe2D_opr_brigid	moe2D_opr_leadlike	moe2D_opr_nring	moe2D_opr_nrot	moe2D_opr_violation	moe2D_petitjean	moe2D_petitjeanSC	moe2D_radius	moe2D_reactive	moe2D_rings	moe2D_vdw_area	moe2D_vdw_vol	moe2D_vsa_acc	moe2D_vsa_base	moe2D_vsa_don	moe2D_vsa_hyd	moe2D_vsa_other	moe2D_vsa_pol	moe2D_weinerPath	moe2D_weinerPol	moe2D_zagreb
1-34	5.92	12.95	2.539	0.03	2.102	2.311	-2.819	-0.5853	0.6128	2.746	-2.8	-0.4732	0.7165	2.796	-2.553	-0.4374	0.7598	3.008	0	-0.8524	-0.3847	0.06004	2.797	-0.9643	-0.2711	0.1481	2.859	-0.5296	-0.2001	0.1666	3.048	19.32	9.467	5.093	14.79	7.163	3.822	4.074	1.782	-1.782	0.1468	0.1677	90.37	68.53	4.265	0	0	12.95	0	79.21	85.78	0	5.683	13.57	0	0.9106	0.5113	0.05342	0.08935	0.4887	0.03594	328.2	184.2	19.25	32.2	176.1	12.95	3.923	-3.923	0.1386	0.2065	0.7053	0.3656	0.05342	0.2947	0.6344	0.2413	254.1	131.8	19.25	106.2	228.6	86.96	10.49	23.86	23.03	4.411	6.371	2.757	233.8	60.58	16.79	4.371	0	11.51	16.79	55.32	34.64	16.79	0	158.8	56.61	21.2	35.91	0.4223	5.858	3.758	9.051	347.5	70.33	1.379	3	12	0	51	0	26	20	22	0	0	25	3	1	0	59.49	5	0.1724	12	54	2	29	5	0.1724	40	1.156	33.57	17.77	14.91	15.05	13.3	12.79	8.933	9.499	7.066	6.42	4.494	1.274	0.5443	0.7537	0.3941	9.598	4.41	5.466	2.777	0	0	7.835	2.594	3.862	1.304	0	0	3.217	0.9141	1.542	0.6524	0	0.6856	16	18.26	0	2.885	12.57	0	0	1.704	4.419	0.08066	0	0	0	0	0	7.57	0	0	0.6948	4.314	0	4	0	1	0	4.017	-4.478	10.46	23	1	4	7	0	0.5	1	8	0	4	360.4	506.8	19.25	0	0	284.2	37.74	19.25	1987	39	136
1-35	6.1	14.3	2.542	0.131	1.865	2.178	-2.822	-0.5532	0.5947	2.748	-2.809	-0.4607	0.6863	2.797	-2.556	-0.4312	0.722	3.011	0	-0.8528	-0.3766	0.06063	2.835	-0.9968	-0.276	0.1452	2.889	-0.5296	-0.2051	0.161	3.085	19.32	9.467	5.093	15.04	7.289	3.892	4.216	1.85	-1.85	0.1389	0.1758	97.06	66.81	8.619	0	0	12.95	0	79.21	85.78	0	0	13.7	0	0.9268	0.4907	0.03763	0.0732	0.5093	0.03556	337.5	178.7	13.7	26.65	185.4	12.95	4.403	-4.403	0.152	0.1974	0.7097	0.3466	0.03763	0.2903	0.6534	0.2527	258.4	126.2	13.7	105.7	237.9	92.02	10.52	23.86	6.249	4.411	6.371	20.77	233.8	78.59	0	4.08	0	29.52	0	73.33	34.64	0	0	158.8	56.61	21.2	35.58	0.4223	5.858	3.758	9.051	349.5	72.34	1.365	2	12	0	53	1	26	20	22	0	0	27	3	1	0	60.83	5	0.1724	12	56	1	29	5	0.1724	43	1.156	35.09	17.77	14.91	15.23	13.43	12.79	8.933	9.679	7.066	6.42	4.494	1.274	0.5443	0.7819	0.3941	9.598	4.41	5.668	2.777	0	0	7.835	2.594	4.04	1.304	0	0	3.217	0.9141	1.626	0.6524	0	0.6804	16	18.52	0	3.161	12.62	0	0	0	0	0.1675	0	0	0	0	0	8.431	3.362	0	0.7287	4.508	0	4	1	1	0	3.731	-3.572	10.51	23	1	4	7	0	0.5	1	8	0	4	364.1	513.6	13.57	0	5.683	284.2	37.74	19.25	1987	39	136
1-37	8.38	15.5	2.632	-0.079	1.744	1.486	-2.818	-0.566	0.5966	2.747	-2.802	-0.4761	0.688	2.796	-2.553	-0.4435	0.7234	3.009	0	-0.8522	-0.3897	0.06167	2.816	-1.008	-0.2639	0.1467	2.869	-0.5296	-0.2161	0.1613	3.066	20.28	9.667	5.136	15.36	7.237	3.812	4.116	2.062	-2.062	0.16	0.1489	90.37	47.3	0	8.619	0	12.95	17.44	79.21	85.78	0	13.57	13.57	0.1369	0.8437	0.5211	0.07392	0.1563	0.4789	0.08237	311.3	192.3	27.27	57.66	176.7	30.39	4.411	-4.411	0.1564	0.1836	0.6773	0.3789	0.07392	0.3227	0.6211	0.2488	249.9	139.8	27.27	119	229.2	91.78	10.58	47.72	6.249	4.411	6.371	20.77	233.8	65.41	0	4.243	0	34.35	0	55.32	34.64	0	0	158.8	56.61	45.06	52.65	0.4102	5.907	3.753	9.168	363.5	75.46	1.451	3	12	0	52	1	27	20	22	0	0	25	3	2	0	60.29	5	0.1667	12	55	2	30	5	0.1667	41	1.191	33.87	18.64	14.78	15.43	13.22	13.2	8.933	9.687	7.066	6.42	4.494	1.479	0.5443	0.7948	0.3941	9.99	4.41	5.606	2.777	0	0	8.335	2.594	3.989	1.304	0	0	3.654	0.9141	1.643	0.6524	0	0.706	16	17.75	0	2.54	24.89	0	0	0	0	-0.4897	0	0	0	0	0	6.742	2.82	0	0.5646	3.847	0	5	1	1	0	3.633	-4.328	10.62	23	1	4	7	0	0.5	1	8	0	4	368.9	514.8	27.13	0	5.683	284.2	30.39	32.82	2150	42	142
1-38	7.89	14.71	2.272	0.014	1.698	1.741	-2.822	-0.5527	0.595	2.748	-2.802	-0.4597	0.6882	2.799	-2.556	-0.4298	0.7233	3.01	0	-0.8527	-0.3816	0.06075	2.837	-1.006	-0.2613	0.1453	2.906	-0.5296	-0.2051	0.1611	3.087	19.32	9.467	5.299	15.04	7.289	4.049	4.216	1.869	-1.869	0.173	0.1712	110.3	46.92	0	8.619	0	0	17.44	69.16	98.04	0	13.57	0	0.1369	0.9145	0.4968	0.03763	0.08553	0.5032	0.0479	333	180.9	13.7	31.14	183.2	17.44	4.224	-4.224	0.1633	0.1918	0.7097	0.3527	0.03763	0.2903	0.6473	0.2527	258.4	128.4	13.7	105.7	235.7	92.02	10.53	23.86	6.249	4.411	6.371	20.77	252.3	60.15	0	4.869	0	29.09	0	55.32	10.78	0	0	158.8	56.61	63.5	35.58	0.4223	5.858	3.759	9.052	349.5	72.34	1.365	2	12	0	53	1	26	21	22	0	0	27	3	1	0	60.83	5	0.1724	12	56	1	29	5	0.1724	43	1.153	35.09	17.77	14.91	15.23	13.43	12.78	9.008	9.679	7.17	6.516	4.605	1.348	0.5749	0.8118	0.424	9.455	4.479	5.671	2.841	0	0	7.698	2.642	4.046	1.342	0	0	3.114	0.9574	1.633	0.6869	0	0.6804	16	18.81	0	3.572	12.29	0	0	0	0	0.04649	0	0	0	0	0	8.535	3.011	0	0.7287	4.508	0	4	1	1	0	3.782	-3.941	10.5	23	1	4	7	1	0.5	1	8	0	4	364.1	513.6	13.57	0	5.683	304.5	17.44	19.25	1991	38	136
1-39	8.35	16.32	2.767	0.001	1.733	1.619	-2.818	-0.5664	0.5961	2.747	-2.802	-0.4761	0.7818	2.796	-2.553	-0.4434	0.8291	3.009	0	-0.8522	-0.3897	0.05896	2.817	-1.008	-0.2639	0.1645	2.872	-0.5296	-0.2161	0.1931	3.067	21.24	9.871	5.389	17.16	7.91	4.292	4.848	2.047	-2.047	0.1611	0.1499	94.89	43.03	0	8.619	0	12.95	17.44	91.46	90.86	0	13.57	13.57	0.1369	0.8508	0.5423	0.07056	0.1492	0.4577	0.07863	328.9	209.6	27.27	57.66	176.9	30.39	4.438	-4.438	0.1555	0.1825	0.692	0.4065	0.07056	0.308	0.5935	0.2375	267.5	157.1	27.27	119	229.4	91.78	11.08	47.72	6.249	4.411	9.872	20.77	216.2	65.41	39.15	4.896	0	34.35	0	55.32	34.64	0	3.501	141.1	56.61	84.21	52.65	0.3989	5.954	3.807	9.272	397.9	81.52	1.568	3	12	0	52	1	28	21	22	1	0	24	3	2	0	61.81	5	0.1613	12	55	2	31	5	0.1613	41	1.195	33.19	19.51	14.65	16.49	13.15	13.6	8.749	10.16	6.977	6.237	4.42	1.768	0.5443	0.9838	0.3941	10.33	4.259	5.896	2.725	0	0	8.599	2.437	4.188	1.258	0	0	4.003	0.9141	1.841	0.6524	0	0.7497	17	15.5	0	2.84	25.03	0	0	0	0	-0.5989	0	5.954	0	0	0	6.602	2.777	0	0.541	3.803	0	5	1	1	0	4.262	-5.062	11.13	23	1	4	7	1	0.4706	0.8889	9	0	4	386.5	530.7	27.13	0	5.683	302.5	30.39	32.82	2381	44	148
1-3a	7.46	15.42	2.823	0.03	1.46	2.379	-2.819	-0.6017	0.6402	2.745	-2.799	-0.5026	0.7492	2.796	-2.552	-0.4655	0.8016	3.009	0	-0.8525	-0.3855	0.06673	2.862	-0.9897	-0.2639	0.1528	2.936	-0.5293	-0.2161	0.1768	3.121	23.17	12.3	6.998	17.46	9.169	5.179	5.335	1.891	-1.891	0.1369	0.163	99.27	63.98	0	0	0	12.95	0	103.7	134.8	0	0	13.57	0	0.9381	0.5886	0.03168	0.06191	0.4114	0.03024	401.8	252.1	13.57	26.52	176.2	12.95	4.251	-4.251	0.1279	0.1906	0.8149	0.466	0.03168	0.1851	0.534	0.1534	349	199.6	13.57	79.29	228.7	65.72	12.38	23.86	3.124	7.535	6.371	2.757	339.7	60.58	0	5.902	3.124	8.383	0	55.32	34.64	0	0	264.6	56.61	21.2	23.55	0.3782	6.044	3.782	9.505	398.5	76.82	1.28	2	18	0	60	0	30	26	27	0	0	30	2	1	0	70.53	8	0.2424	18	63	1	33	8	0.2424	44	1.237	37.71	20.6	18.44	17.49	16.19	14.79	11.92	10.98	9.06	8.561	5.661	1.274	0.5749	0.7627	0.4053	10.59	5.916	6.051	3.448	0	0	8.578	3.653	4.279	1.691	0	0	3.217	0.9574	1.595	0.6653	0	0.6623	16	30.4	0	3.117	13.19	0	0	0	0	0.0864	0	0	0	0	0	7.531	0	0	0.673	4.502	0	3	0	1	1	5.982	-5.745	12.44	24	1	4	9	1	0.5	1	8	0	4	428.3	601.8	13.57	0	0	379.1	12.95	13.57	2797	43	152
1-3b	6.23	15.89	2.831	0.03	1.456	2.355	-2.819	-0.587	0.6048	2.745	-2.799	-0.5225	0.713	2.796	-2.552	-0.4479	0.7681	3.009	0	-0.8525	-0.3844	0.06017	2.875	-0.9897	-0.2639	0.1469	2.95	-0.5293	-0.2161	0.168	3.134	25.1	13.19	7.498	19.28	10.03	5.669	6.044	2.112	-2.112	0.1226	0.1647	124.3	80.97	0	0	0	12.95	0	128.2	98.04	0	0	13.57	2.504	0.937	0.5262	0.0349	0.06302	0.4738	0.02812	431.5	242.3	16.07	29.02	218.2	12.95	4.463	-4.463	0.1218	0.1815	0.7681	0.4122	0.0349	0.2319	0.5878	0.197	353.7	189.8	16.07	106.8	270.7	90.72	13.04	23.86	14.12	7.535	11.61	2.757	322	60.58	35.38	5.911	14.12	8.383	0	55.32	34.64	35.38	0	247	56.61	26.44	32.78	0.3598	6.129	3.884	9.692	428.6	85.39	1.334	3	18	0	64	0	32	27	28	0	0	32	2	2	0	74.42	9	0.2571	18	67	1	35	9	0.2571	48	1.242	41.82	22.18	19.31	18.82	17.11	15.72	11.73	11.5	8.971	8.366	5.584	1.478	0.5749	0.8307	0.4053	11.41	5.749	6.367	3.393	0	0	9.04	3.471	4.432	1.64	0	0	3.71	0.9574	1.741	0.6653	0	0.673	18	28.09	0	3.781	13.35	0	0	0	0	0.04201	1.637	0	0	0	0	7.404	0	5.238	0.6499	4.474	0	4	0	1	1	5.938	-5.796	13.1	24	1	4	10	1	0.5	1	9	0	4	460.5	636.9	16.07	0	0	407.4	12.95	16.07	3362	47	162
1-3c	7.74	15.43	2.705	0.03	1.449	2.43	-2.819	-0.6163	0.637	2.745	-2.799	-0.5012	0.7784	2.796	-2.552	-0.4655	0.8016	3.009	0	-0.8525	-0.3862	0.06657	2.863	-0.9897	-0.2639	0.1645	2.936	-0.5293	-0.2161	0.1769	3.121	24.13	12.46	7.239	18.25	9.326	5.379	5.49	1.958	-1.958	0.1322	0.1574	99.27	59.72	9.021	0	0	12.95	0	128.2	98.04	0	11.91	13.57	0	0.9112	0.5818	0.05888	0.0888	0.4182	0.02993	394.3	251.7	25.48	38.43	181	12.95	4.291	-4.291	0.1267	0.1888	0.8168	0.4605	0.03135	0.1832	0.5395	0.1519	353.4	199.3	13.57	79.29	233.4	65.72	12.38	23.86	18.08	16.66	6.371	2.757	322	60.58	0	6.041	3.124	8.383	9.121	55.32	34.64	0	0	247	56.61	36.16	23.55	0.3688	6.087	3.831	9.6	416.5	83.15	1.386	2	18	0	60	0	31	27	27	0	1	29	2	1	0	70.42	8	0.2353	18	63	1	34	8	0.2353	44	1.242	37.82	21.47	18.31	17.79	16.11	15.19	11.73	11.08	8.971	8.366	5.584	1.563	0.5749	0.8257	0.4053	11	5.749	6.121	3.393	0	0	8.73	3.471	4.291	1.64	0	0	3.625	0.9574	1.668	0.6653	0	0.6886	17	26.21	0	2.437	13.18	0	0	0	0	-0.07619	0	0	13.31	0	0	7.144	0	0	0.6104	4.355	0	3	0	1	1	6.135	-6.04	12.52	24	1	4	9	1	0.4706	0.8889	9	0	4	432.7	604.9	13.57	0	0	384.2	12.95	13.57	3064	45	158
1-3d	8.27	16.74	2.955	0.03	2.09	3.047	-2.819	-0.5931	0.6987	2.745	-2.799	-0.5381	0.7437	2.796	-2.552	-0.4654	0.7979	3.009	1	-0.8525	-0.3816	0.08008	2.88	-0.9897	-0.2758	0.1593	2.948	-0.5529	-0.2161	0.1931	3.133	26.07	13.35	7.74	19.51	9.889	5.694	5.846	2.779	-1.779	0.1099	0.1733	123.8	76.68	0	0	4.028	12.95	17.02	103.7	109.2	0	0	13.57	0	0.8968	0.4913	0.02943	0.1032	0.5087	0.07376	413.4	226.5	13.57	47.57	234.5	34	5.701	-4.701	0.189	0.1723	0.7726	0.4675	0.05366	0.2274	0.5325	0.1737	356.2	215.5	24.73	104.8	245.5	80.07	12.97	31.41	3.124	57.24	6.371	5.513	322	60.58	0	5.702	3.124	15.94	25.6	79.42	34.64	0	0	247	56.61	23.95	63.86	0.3513	6.17	3.92	9.782	444.6	91.47	1.452	4	18	1	63	1	33	26	27	0	0	30	3	3	0	73.23	9	0.25	18	66	2	36	9	0.25	46	1.246	38.01	23.05	18.31	18.72	16.11	16.1	11.73	11.49	8.971	8.366	5.584	1.774	0.5749	0.878	0.4053	11.7	5.749	6.365	3.393	0	0	9.255	3.471	4.43	1.64	0	0	4.258	0.9574	1.792	0.6653	0	0.7056	18	26.34	0	2.798	24.38	-0.201	0	0	0	-0.1068	0	0	0	0	9.049	7	0	0	0.585	4.327	0	6	1	1	1	5.443	-5.792	13.07	24	1	4	10	1	0.5	1	9	0	4	461	630.1	30.53	4.028	0	370	12.95	47.5	3662	49	168
1-3e	7.19	15.52	2.801	0.03	1.77	2.552	-2.819	-0.606	0.6661	2.745	-2.799	-0.5192	0.7733	2.796	-2.552	-0.4825	0.8229	3.009	0	-0.8525	-0.383	0.07297	2.856	-0.9897	-0.2639	0.1586	2.927	-0.5293	-0.2161	0.1847	3.114	23.17	12.3	6.998	17.38	9.126	5.154	5.287	1.934	-1.934	0.1339	0.1594	132.8	59.72	0	0	0	12.95	0	103.7	98.04	0	0	19.25	0	0.9245	0.5183	0.04514	0.07551	0.4817	0.03037	394.2	221	19.25	32.2	205.4	12.95	4.421	-4.421	0.123	0.1832	0.8007	0.3952	0.04514	0.1993	0.6048	0.1541	341.5	168.5	19.25	84.97	257.9	65.72	12.16	23.86	19.91	7.535	6.371	2.757	321.2	60.58	0	5.297	3.124	25.17	0	55.32	34.64	0	0	246.1	56.61	21.2	36.44	0.3782	6.044	3.782	9.505	399.5	79.23	1.343	3	18	0	59	0	30	25	26	0	0	29	3	1	0	69.2	8	0.2424	18	62	1	33	8	0.2424	43	1.237	37.94	20.6	17.74	17.36	15.61	14.79	10.92	10.83	8.394	7.5	5.084	1.274	0.5749	0.7627	0.4053	10.59	5.008	5.957	3.034	0	0	8.578	2.663	4.193	1.309	0	0	3.217	0.9574	1.595	0.6653	0	0.6741	16	27.64	4.041	3.029	13.16	0	0	0	0	0.0464	0	0	0	0	0	7.452	0	0	0.6606	4.467	0	4	0	1	1	4.75	-4.487	12.29	24	1	4	9	1	0.5	1	8	0	4	426.4	592.7	19.25	0	0	372.2	12.95	19.25	2797	43	152
1-3f	5.03	15.44	2.171	0.03	1.511	2.14	-2.822	-0.5788	0.6078	2.758	-2.803	-0.4928	0.7031	2.859	-2.556	-0.4447	0.7444	3.019	0	-0.8526	-0.3828	0.05971	2.971	-0.995	-0.2668	0.1467	3.043	-0.5322	-0.2161	0.1662	3.218	23.17	12.3	6.998	19.03	10.03	5.679	6.363	1.858	-1.858	0.1242	0.1678	144	42.65	0	0	12.95	0	0	96.61	124.1	0	0	13.57	0	0.9389	0.54	0.03127	0.06111	0.46	0.02984	407.4	234.3	13.57	26.52	199.6	12.95	3.501	-3.501	0.1625	0.2314	0.8173	0.3188	0.03127	0.1827	0.6812	0.1515	354.6	138.3	13.57	79.29	295.6	65.72	12.46	23.86	3.124	11.95	3.186	2.757	345.8	60.58	0	6.169	3.124	8.383	23.86	55.32	12.01	0	0	176.4	150.9	21.2	23.55	0.3782	6.044	3.782	9.505	404.6	82.43	1.249	2	12	0	66	0	30	26	27	0	0	36	2	1	0	74.53	8	0.2424	12	69	1	33	8	0.2424	56	1.236	44.27	20.6	18.44	18.22	16.91	14.79	11.92	11.92	10	8.561	6.63	1.274	0.5749	0.8307	0.4663	10.59	5.916	7.005	4.28	0	0	8.578	3.653	5.131	2.356	0	0	3.217	0.9574	1.791	0.7732	0	0.6531	16	21.14	0	2.485	13.34	0	0	0	0	0.3633	0	0	0	0	0	13.71	0	0	0.9528	4.681	0	3	0	1	1	5.997	-5.832	12.52	24	0	4	11	2	0.5	1	8	0	4	433.9	619.5	13.57	0	0	379.1	12.95	13.57	2797	43	152
1-3g	7.28	12.77	1.978	0.03	1.507	2.029	-2.819	-0.5603	0.5937	2.746	-2.8	-0.4687	0.6838	2.796	-2.553	-0.4298	0.7302	3.009	0	-0.8526	-0.383	0.05959	2.816	-0.9929	-0.2639	0.1437	2.886	-0.5295	-0.2057	0.1642	3.068	19.75	10.36	6.282	15.56	8.077	4.857	5.027	1.618	-1.618	0.1389	0.193	128.6	42.65	0	0	12.95	0	0	79.21	98.04	0	0	13.57	0	0.9293	0.5088	0.03618	0.07071	0.4912	0.03453	348.5	190.8	13.57	26.52	184.2	12.95	3.501	-3.501	0.1625	0.2314	0.7886	0.3688	0.03618	0.2114	0.6312	0.1752	295.7	138.3	13.57	79.29	236.7	65.72	10.37	23.86	3.124	7.535	3.186	2.757	251.5	60.58	33.33	4.608	3.124	8.383	23.86	55.32	7.596	0	0	176.4	56.61	54.52	23.55	0.4243	5.755	3.68	8.953	336.5	68.87	1.299	2	12	0	53	0	25	21	22	0	0	28	2	1	0	60.39	7	0.2593	12	55	1	27	7	0.2593	42	1.358	35.53	17.48	15.33	15.1	13.8	12.22	9.343	9.316	7.4	6.163	4.295	1.248	0.4082	0.725	0.322	8.378	4.266	5.165	2.675	0	0	6.754	2.519	3.663	1.253	0	0	2.685	0.7217	1.469	0.5691	0	0.6582	15	20.72	0	2.407	11.99	0	0	0	0	0.1321	1.662	0	0	0	0	7.74	0	0	0.72	4.46	0	3	0	1	0	4.32	-3.985	10.4	18	1	3	8	1	0.4667	0.875	8	0	3	375	511.2	13.57	0	0	327.2	12.95	13.57	1774	34	124
1-3h	6.08	13.27	1.978	0.03	1.507	2.029	-2.819	-0.5587	0.5924	2.746	-2.8	-0.4671	0.6838	2.796	-2.553	-0.429	0.7259	3.009	0	-0.8526	-0.383	0.05953	2.842	-0.993	-0.2639	0.1436	2.911	-0.5299	-0.2056	0.1639	3.093	20.73	11.11	6.542	16.49	8.752	5.117	5.55	1.675	-1.675	0.1359	0.1864	127.1	42.65	0	0	12.95	0	0	79.21	116.8	0	0	13.57	0	0.9324	0.5342	0.03459	0.0676	0.4658	0.03301	365.7	209.6	13.57	26.52	182.7	12.95	3.501	-3.501	0.1625	0.2314	0.7979	0.3526	0.03459	0.2021	0.6474	0.1675	313	138.3	13.57	79.29	253.9	65.72	10.84	23.86	3.124	7.535	3.186	2.757	270.3	60.58	33.33	4.998	3.124	8.383	23.86	55.32	7.596	0	0	176.4	75.47	54.52	23.55	0.4121	5.807	3.693	9.074	350.5	71.96	1.285	2	12	0	56	0	26	22	23	0	0	30	2	1	0	63.49	8	0.2857	12	58	1	28	8	0.2857	45	1.381	37.71	18.19	16.04	15.81	14.51	12.76	9.881	9.877	7.96	6.571	4.649	1.151	0.4082	0.6982	0.322	8.896	4.266	5.388	2.675	0	0	6.928	2.519	3.783	1.253	0	0	2.755	0.7217	1.478	0.5691	0	0.6544	15	20.81	0	2.426	12.36	0	0	0	0	0.2201	1.945	0	0	0	0	8.326	0	0	0.7203	4.522	0	3	0	1	0	4.795	-4.186	10.87	18	1	3	9	1	0.4667	0.875	8	0	3	392.3	535.7	13.57	0	0	343	12.95	13.57	1955	36	128
