__MOL_ID__	ACTIVITY	moei3D_AM1_E	moei3D_AM1_Eele	moei3D_AM1_HF	moei3D_AM1_HOMO	moei3D_AM1_IP	moei3D_AM1_LUMO	moei3D_AM1_dipole	moei3D_ASA	moei3D_ASA+	moei3D_ASA-	moei3D_ASA_H	moei3D_ASA_P	moei3D_CASA+	moei3D_CASA-	moei3D_DASA	moei3D_DCASA	moei3D_E	moei3D_E_ang	moei3D_E_ele	moei3D_E_nb	moei3D_E_oop	moex3D_E_rnb	moex3D_E_rsol	moex3D_E_rvdw	moei3D_E_sol	moei3D_E_stb	moei3D_E_str	moei3D_E_strain	moei3D_E_tor	moei3D_E_vdw	moei3D_FASA+	moei3D_FASA-	moei3D_FASA_H	moei3D_FASA_P	moei3D_FCASA+	moei3D_FCASA-	moei3D_MNDO_E	moei3D_MNDO_Eele	moei3D_MNDO_HF	moei3D_MNDO_HOMO	moei3D_MNDO_IP	moei3D_MNDO_LUMO	moei3D_MNDO_dipole	moei3D_PM3_E	moei3D_PM3_Eele	moei3D_PM3_HF	moei3D_PM3_HOMO	moei3D_PM3_IP	moei3D_PM3_LUMO	moei3D_PM3_dipole	moei3D_VSA	moei3D_dens	moei3D_dipole	moex3D_dipoleX	moex3D_dipoleY	moex3D_dipoleZ	moei3D_glob	moei3D_pmi	moex3D_pmiX	moex3D_pmiY	moex3D_pmiZ	moei3D_rgyr	moei3D_std_dim1	moei3D_std_dim2	moei3D_std_dim3	moei3D_vol
1-3o	6.18	-75390	-537000	-20.41	-9.091	9.091	0.465	2.674	555.9	166.4	110.7	481.1	74.82	488.2	324.6	55.77	163.6	146.2	104.8	-107.1	150.2	100.4	100.4	-1.421e-14	100.4	94.07	100.7	102.9	115.1	89.24	156.9	0.2994	0.199	0.8654	0.1346	0.8783	0.5839	-75610	-530400	-15.17	-9.307	9.307	0.2386	2.573	-69970	-528400	-41.02	-9.097	9.097	0.3113	2.224	332.8	0.9143	0.6264	0.3619	0.08675	0.5039	0.06526	5059	1061	3600	397.9	4.294	4.025	1.535	1.028	300.1
1-40	6.57	-81950	-612700	-36.29	-9.137	9.137	0.4974	2.839	580.7	135	105.1	522.8	57.94	395.9	308.2	29.9	87.72	166.6	128.2	-127.9	170.7	120.7	120.7	-2.842e-14	120.7	115.7	120.7	123.9	136.2	106.1	177.9	0.2324	0.1809	0.9002	0.09976	0.6818	0.5307	-82170	-606000	-23.98	-9.3	9.3	0.2497	2.639	-76150	-605500	-43.62	-9.09	9.09	0.3168	2.497	354.3	0.9327	0.5782	0.3866	0.1307	0.4096	0.06409	6151	1225	4515	410.1	4.525	4.26	1.569	1.078	322.1
1-9	7.01	-90130	-685500	20.25	-9.167	9.167	-0.2819	2.833	625.6	221.5	183.5	560.7	64.93	814.7	674.7	38.08	140	188.7	140.7	-123.9	177.2	121.3	121.3	0	121.3	110.7	121.6	124.5	137.4	109.9	179.8	0.3541	0.2933	0.8962	0.1038	1.302	1.078	-90330	-678000	21.15	-9.316	9.316	-0.4629	2.993	-83610	-675900	-2.379	-9.132	9.132	-0.4353	2.487	380	0.9583	0.7378	0.5102	0.1506	0.5111	0.04992	8458	1336	6698	423.6	5.029	4.688	1.614	1.047	349
2-12	4.34	-80440	-601800	34.67	-9.131	9.131	0.4481	0.6274	626.6	230.6	173.3	588.4	38.2	806.4	606.2	57.27	200.3	54.45	1.906	2.295	65.08	0.0002867	-4.263e-14	-4.263e-14	0	-5.517	0.02234	2.162	11.39	-14.72	62.78	0.3681	0.2766	0.939	0.06097	1.287	0.9674	-80610	-594800	46.56	-9.309	9.309	0.204	0.8592	-74820	-591900	30.11	-9.088	9.088	0.2967	1.123	374.1	0.902	0.5315	-0.2236	-0.3521	0.3294	0.04849	8223	1316	6345	562.3	5.163	4.77	1.644	1.05	342
2-14	6.89	-94370	-753100	2.896	-9.118	9.118	0.1097	2.974	653.5	220.3	184.3	596.2	57.27	811.4	678.8	35.98	132.5	200.6	105.3	-101	201.5	99.81	99.81	0	99.81	93.84	100.4	102.9	142.9	89.78	202.6	0.3371	0.282	0.9124	0.08764	1.242	1.039	-94590	-742800	17.48	-9.297	9.297	-0.1209	2.901	-87770	-743000	-12.99	-9.074	9.074	-0.0207	2.408	404.9	0.9381	0.7005	0.2759	0.1238	0.6318	0.06589	9026	1451	6875	701	5.075	4.735	1.473	1.215	373.6
2-15	6.03	-109700	-971100	35.77	-9.227	9.227	0.04341	3.619	711.5	298	245.4	657.6	53.84	1364	1123	52.6	240.8	223.3	105.6	-99.96	220.7	100.1	100.1	2.842e-14	100.1	81.27	100.7	103.4	147.9	93.4	220.5	0.4189	0.3449	0.9243	0.07568	1.917	1.579	-110000	-959100	48.99	-9.322	9.322	-0.1211	3.345	-102100	-959300	21.81	-9.179	9.179	-0.07816	3.449	460.4	0.9463	1.217	-0.5511	-1.076	0.1439	0.1194	9235	2380	6004	851.9	4.731	3.96	2.359	1.368	436
2-21	9.22	-132600	-1119000	-24.61	-9.239	9.239	-1.033	2.736	832.4	305.8	284.8	709.1	123.3	1754	1634	21.01	120.5	246	109.1	-85.16	243.7	100.1	100.1	-2.842e-14	100.1	80.24	101	105.1	153.1	87.44	228.8	0.3674	0.3421	0.8519	0.1481	2.107	1.963	-133600	-1100000	108.8	-9.349	9.349	-1.736	3.448	-123400	-1095000	-37.75	-9.149	9.149	-0.9082	3.175	526.5	1.01	0.5904	0.2993	-0.2414	-0.448	0.0345	23590	2986	19750	849.8	6.934	6.804	1.396	1.264	485.8
2-22	9.52	-136200	-1188000	-8.423	-9.162	9.162	-1.012	6.16	848.6	289	287.1	736.4	112.2	1658	1647	1.86	10.67	239.4	109	-84.45	237.8	99.81	99.81	-5.684e-14	99.81	77.98	100.7	105	146.6	86.18	222.4	0.3405	0.3383	0.8677	0.1323	1.953	1.941	-137200	-1169000	106.8	-9.36	9.36	-1.74	8.404	-126800	-1166000	-45	-9.154	9.154	-0.9054	6.374	543.5	1.009	1.589	0.4291	-0.7776	1.318	0.03411	23310	2147	18200	2963	6.796	6.552	1.636	1.21	500
2-23	9.22	-148000	-1398000	46.21	-8.91	8.91	-1.07	1.37	895.3	358.6	356.6	796.6	98.71	2260	2248	2.031	12.8	324.8	110	-83.27	321.9	100.7	100.7	0	100.7	60.48	101.6	105.8	200.1	88.35	304.4	0.4006	0.3983	0.8897	0.1103	2.525	2.511	-148900	-1370000	140.7	-9.299	9.299	-1.743	2.734	-137700	-1375000	20.61	-8.968	8.968	-0.9868	2.637	571.5	1.017	0.9248	0.2694	-0.8145	-0.3452	0.05005	18790	6258	5258	7276	5.831	4.947	3.218	1.107	543.5
2-24	4.59	-68220	-456900	-23.79	-9.335	9.335	0.01023	2.557	500.7	166.5	111.4	400.4	100.3	479.5	320.8	55.12	158.8	175	104.9	-102.6	178.3	100.1	100.1	-1.421e-14	100.1	90.58	100.6	102.6	142.4	88.79	180.8	0.3325	0.2224	0.7996	0.2004	0.9577	0.6407	-68410	-451300	-17.39	-9.692	9.692	-0.1277	2.572	-63080	-448800	-31.44	-9.2	9.2	-0.02405	2.144	292.9	0.9457	0.7388	0.2904	0.3507	0.5819	0.07142	3776	617.8	2988	170.3	3.915	3.871	1.157	1.035	260.5
2-25	6.11	-94370	-749400	2.153	-9.058	9.058	0.00831	2.722	655.9	233.7	170.5	590.7	65.2	859.2	626.9	63.19	232.4	213.1	105	-101.3	213.4	99.7	99.7	5.684e-14	99.7	94.67	100.3	102.8	150.8	90.42	215	0.3562	0.2599	0.9006	0.0994	1.31	0.9557	-94590	-740200	12.72	-9.223	9.223	-0.1221	2.816	-87770	-736800	-13.66	-9.028	9.028	-0.01868	2.276	405.7	0.9341	0.6799	0.3871	0.1428	0.5404	0.07046	9359	1006	7650	703	5.167	4.838	1.433	1.284	375.2
2-26	6.84	-94370	-741200	1.219	-9.086	9.086	0.03248	2.837	665.9	230	162.6	599.7	66.21	845.8	597.7	67.46	248.1	210.3	105.3	-101.4	210.4	100.1	100.1	0	100.1	93.74	100.7	103.2	149.8	90.96	211.7	0.3454	0.2441	0.9006	0.09943	1.27	0.8976	-94590	-733300	10.99	-9.249	9.249	-0.1211	2.782	-87780	-731500	-15.13	-9.066	9.066	-0.02425	2.432	407.3	0.9276	0.7133	0.3351	0.3303	0.536	0.05865	9784	2355	6902	526.4	5.283	5.004	1.543	1.212	377.9
2-27	4.39	-94370	-739300	0.5502	-9.106	9.106	0.025	2.891	665.9	229.9	162.3	599.7	66.21	845.6	596.7	67.67	248.9	210.4	105.3	-101.4	210.5	100.1	100.1	-4.263e-14	100.1	93.69	100.7	103.2	149.8	90.96	211.8	0.3453	0.2437	0.9006	0.09943	1.27	0.8961	-94590	-731100	9.034	-9.217	9.217	-0.1226	2.784	-87780	-729900	-15.25	-9.054	9.054	-0.02264	2.437	408.3	0.9282	0.734	0.3116	0.3194	0.5829	0.04912	9873	2160	7002	711	5.307	5.028	1.654	1.114	377.6
2-28	4.85	-110100	-871200	184.2	-11.18	11.18	-6.405	22.2	662.5	252	202.7	564.6	97.97	1294	837.9	49.35	456.1	242.5	105.6	-100.3	235.6	99.86	99.86	0	99.86	27.36	100.6	109.9	175	90.21	236.1	0.3804	0.3059	0.8521	0.1479	1.953	1.265	-110400	-860300	204.5	-10.93	10.93	-6.666	22.5	-101400	-853700	167.1	-11.07	11.07	-6.459	22.67	411.4	1.015	5.446	3.914	-3.556	-1.301	0.07403	10490	2349	7347	791.9	5.236	4.826	1.45	1.313	377
2-29	6.43	-110100	-844200	185.4	-11.02	11.02	-6.747	26.53	679.5	248.2	213.4	558.8	120.7	1274	882.1	34.84	392.2	225.4	105.8	-95.29	217.9	100.1	100.1	4.263e-14	100.1	26.68	100.8	110.1	155.8	91.05	213.1	0.3653	0.314	0.8224	0.1776	1.875	1.298	-110400	-835200	204.1	-10.81	10.81	-6.944	26.97	-101400	-828900	166.1	-10.88	10.88	-6.763	27.4	415.6	1.007	7.309	5.482	-4.5	1.762	0.06356	11890	3568	7719	601.6	5.575	5.014	1.554	1.264	379.8
2-30	5.48	-110100	-836800	185.6	-10.97	10.97	-6.729	29.06	677	248.1	211	556.8	120.2	1274	872.1	37.13	401.6	226.2	105.8	-94.58	218.6	100.1	100.1	4.263e-14	100.1	28.25	100.8	110.1	155.5	91.05	213.1	0.3665	0.3116	0.8224	0.1776	1.881	1.288	-110400	-826500	203.7	-10.77	10.77	-6.932	29.74	-101400	-823600	164.6	-10.89	10.89	-6.692	28.83	415.7	1.005	7.682	4.404	-5.001	3.823	0.04929	12190	2911	8054	1226	5.646	5.059	1.695	1.123	380.6
2-31	4.89	-94370	-729800	1.304	-9.093	9.093	0.01302	2.732	671.7	243.5	188.8	605.4	66.32	897.1	695.5	54.72	201.6	208	105.4	-98	211.3	100.1	100.1	0	100.1	92.23	100.8	103.2	146.9	87.6	209.2	0.3625	0.2811	0.9013	0.09873	1.335	1.035	-94590	-720800	12.07	-9.224	9.224	-0.1224	2.664	-87770	-718800	-11.23	-9.08	9.08	-0.03529	2.288	411.6	0.9297	0.7556	0.3043	0.3729	0.5825	0.04069	11360	1734	9357	269.1	5.693	5.44	1.138	1.097	377
2-32	4.27	-97300	-758700	44.59	-8.895	8.895	-0.03757	2.755	694.4	262.7	208	618.6	75.85	1053	833.5	54.71	219.2	209.7	105.6	-105.3	211	100.1	100.1	1.421e-14	100.1	92.3	100.8	103.7	151.3	88.92	216.2	0.3784	0.2996	0.8908	0.1092	1.516	1.2	-97520	-748800	31.25	-9.011	9.011	-0.1241	2.904	-90490	-746300	15.71	-9.004	9.004	-0.1741	2.359	423.4	0.9286	0.7329	0.3111	0.3198	0.5815	0.04562	11720	2138	8342	1242	5.686	5.282	1.723	1.128	390.4
2-33	4.28	-97520	-739400	-24.1	-9.493	9.493	-0.03758	2.866	634.6	238.1	205.1	539.2	95.34	942.9	812.4	32.95	130.5	233	109.1	-105.6	224.2	100.5	100.5	1.421e-14	100.5	87.3	101.5	104.3	165.2	95.7	229.3	0.3752	0.3233	0.8498	0.1502	1.486	1.28	-97750	-728600	-18.95	-9.671	9.671	-0.1619	3.321	-90380	-729000	-40.57	-9.434	9.434	-0.08435	2.246	384	0.9803	0.9215	0.3552	0.7681	-0.3648	0.06412	9189	973.9	7118	1097	5.121	4.817	1.396	1.22	357.5
2-34	4.42	-81910	-607100	3.936	-9.077	9.077	0.01804	2.681	599.7	238.8	140.9	500.9	98.79	808.3	476.9	97.89	331.4	197.2	107.7	-101.5	187.8	100.1	100.1	1.421e-14	100.1	94.91	100.9	104.5	147.4	96.64	189.2	0.3982	0.2349	0.8352	0.1648	1.348	0.7953	-82140	-597600	7.85	-9.574	9.574	-0.1267	2.886	-76120	-596400	-11.88	-9.057	9.057	-0.02397	2.355	362.5	0.917	0.7073	0.2911	0.3143	0.5628	0.04792	6942	1120	5568	253.4	4.807	4.732	1.22	1.036	327.6
2-35	6.39	-92720	-744300	-50.27	-9.047	9.047	0.01046	2.723	652.5	139	99.96	587.7	64.85	387.7	278.9	39	108.8	183.7	105.7	-102.8	195	100.1	100.1	4.263e-14	100.1	95.31	100.6	103.7	141.6	78.87	197.7	0.213	0.1532	0.9006	0.09938	0.5942	0.4274	-92990	-735100	-30.57	-9.571	9.571	-0.123	2.698	-86500	-734300	-57.2	-9.027	9.027	-0.03305	2.363	406.6	0.9113	0.6911	0.4593	0.355	0.375	0.0421	9445	2498	6674	273.4	5.251	5.082	1.435	1.043	375.9
2-36	4.62	-105800	-941200	-51.73	-8.93	8.93	0.0079	2.758	686	137.6	102.2	621.3	64.73	384	285	35.48	99	226.4	106.1	-103.1	226.1	100.3	100.3	4.263e-14	100.3	96.59	100.7	104.8	155.9	89.82	228.9	0.2006	0.1489	0.9056	0.09436	0.5598	0.4155	-106100	-928300	-18.09	-9.531	9.531	-0.1253	2.7	-98860	-927900	-59.43	-8.975	8.975	-0.02866	2.412	433.8	0.9471	0.6906	0.5944	0.3126	0.1607	0.05612	11760	1556	8947	1258	5.459	5.171	1.458	1.225	416.6
2-3b	6.0	-90790	-690100	-6.118	-9.15	9.15	0.03235	3.436	650.9	233.6	174.1	597.7	53.17	875.4	652.5	59.47	222.8	92.82	4.986	-2.392	96.83	0.0002537	-2.842e-14	-2.842e-14	0	-8.741	0.4967	2.873	42.18	-12.37	99.22	0.3589	0.2676	0.9183	0.08169	1.345	1.003	-90990	-685400	4.621	-9.252	9.252	-0.1798	3.352	-84330	-677800	-10.1	-9.119	9.119	-0.2753	2.505	389.2	0.9353	0.7544	0.02727	0.1859	-0.7306	0.05747	9170	2459	6064	647.3	5.22	4.901	1.681	1.175	359.8
2-3c	6.33	-90790	-681700	-6.197	-9.102	9.102	-0.1239	3.056	654.4	223	177.9	592.7	61.73	835.5	666.4	45.12	169.1	63.95	4.99	-2.419	68.08	0.0002411	0	0	0	-9.702	0.4878	2.87	15.85	-12.47	70.5	0.3407	0.2718	0.9057	0.09432	1.277	1.018	-91000	-680000	2.371	-9.243	9.243	-0.1751	3.422	-84330	-670900	-13.76	-9.102	9.102	-0.293	2.631	394.5	0.9379	0.7718	0.004237	0.3092	-0.7071	0.04452	9672	1478	7413	780.6	5.361	5.153	1.686	1.087	358.8
2-3d	6.74	-90790	-680700	-6.45	-9.102	9.102	-0.1285	3.344	654.6	224.5	177	592.9	61.73	841.3	663.1	47.57	178.3	64.03	4.991	-2.374	68.16	0.00024	1.421e-14	1.421e-14	0	-9.727	0.484	2.867	14.64	-12.47	70.54	0.343	0.2703	0.9057	0.09429	1.285	1.013	-90990	-674200	23.89	-9.305	9.305	-0.2789	3.147	-84330	-669800	-13.92	-9.096	9.096	-0.3191	3.008	393.4	0.9273	0.8198	0.02659	0.3363	-0.7472	0.0461	9804	1389	7762	652.9	5.398	5.231	1.589	1.123	362.9
2-3e	6.06	-106500	-800600	183.2	-10.69	10.69	-6.683	23.13	661.7	253.7	212.1	566.2	95.46	1320	891.6	41.61	428.6	75.88	5.476	-9.245	65.65	0.0002603	0	0	0	-83.52	0.6844	9.78	27.69	-5.705	74.89	0.3834	0.3205	0.8557	0.1443	1.995	1.347	-106800	-791500	204.8	-10.59	10.59	-6.946	23.5	-97910	-785800	174.3	-10.69	10.69	-6.581	22.84	400.9	1.016	5.123	-0.6531	4.7	1.929	0.03997	10010	1233	7633	1141	5.211	4.803	1.861	0.9602	362.8
2-3f	6.64	-106500	-777000	183.8	-10.48	10.48	-6.969	31.39	666.5	242.7	226.2	550	116.5	1263	950.8	16.55	312.3	78.17	5.472	2.746	74.66	0.0002425	1.421e-14	1.421e-14	0	-76.5	0.6541	9.775	21.31	-12.39	71.91	0.3642	0.3394	0.8252	0.1748	1.895	1.427	-106800	-774400	227.4	-10.37	10.37	-7.201	32.17	-97910	-761600	171.9	-10.46	10.46	-6.919	30.95	402.5	1.015	7.696	-2.724	6.938	1.915	0.04305	12120	1802	9183	1137	5.736	5.214	1.696	1.082	362.9
2-3g	7.26	-106500	-773200	184.9	-10.5	10.5	-7.046	31.96	668	244.7	225.7	550.9	117.1	1273	948.8	19.02	324.7	83.01	5.471	7.547	79.52	0.0002361	0	0	0	-79.86	0.6414	9.774	20.24	-12.39	71.97	0.3664	0.3379	0.8247	0.1753	1.906	1.42	-106800	-768500	204.3	-10.36	10.36	-7.24	32.84	-97910	-758400	173.2	-10.47	10.47	-7.001	31.29	402.9	1.016	8.353	-1.743	8.168	0.1544	0.04742	12550	1504	10340	704.3	5.836	5.276	1.584	1.149	362.5
2-3h	7.06	-98170	-728800	-37.68	-9.139	9.139	-0.0435	4.279	670.1	236.9	183.2	567.6	102.5	939.4	726.4	53.72	213	95.51	9.739	-4.757	94.65	0.0002429	2.842e-14	2.842e-14	0	-9.735	0.1553	3.035	38.92	-12.07	99.41	0.3535	0.2733	0.8471	0.1529	1.402	1.084	-98420	-723300	-8.409	-9.209	9.209	-0.1691	3.885	-91090	-716700	-42.31	-9.087	9.087	-0.285	4.008	400.5	0.9611	1.095	0.204	0.1929	-1.059	0.05197	11100	1416	9029	654	5.611	5.324	1.568	1.214	366.8
2-3i	6.92	-97530	-713000	-29.82	-9.181	9.181	-0.8684	2.903	657.9	255	205.3	533.6	124.3	1064	856.8	49.75	207.6	70.13	6.271	1.184	72.02	0.0002453	0	0	0	-15.86	0.8572	3.366	16.08	-12.39	70.84	0.3877	0.312	0.8111	0.1889	1.618	1.302	-97760	-707000	-20.65	-9.285	9.285	-0.5804	1.351	-90380	-7e+05	-37.96	-9.146	9.146	-0.9853	1.432	396	0.9665	0.4729	-0.2867	-0.3299	-0.1807	0.04798	11020	1413	8954	652.4	5.608	5.123	1.599	1.122	362.6
2-3j	6.74	-95500	-682900	-6.482	-9.173	9.173	-0.4251	3.2	651.6	210.6	243.4	589.9	61.73	796.2	920.3	32.82	124.1	61.74	5.038	-2.608	65.72	0.0002395	-2.487e-14	-2.487e-14	0	-9.567	0.5905	2.785	14.25	-12.39	68.33	0.3232	0.3736	0.9053	0.09473	1.222	1.412	-95240	-676500	2.763	-9.294	9.294	-0.5944	3.038	-87830	-670600	-10.88	-9.129	9.129	-0.5815	2.616	392.1	0.9997	0.7738	0.03402	-0.1874	-0.75	0.05165	11500	1459	9373	669	5.677	4.841	1.619	1.1	357
2-3k	7.07	-98060	-688800	-44.63	-9.176	9.176	-0.4208	3.219	632.2	221.7	212.9	570.5	61.73	841	807.7	8.773	33.28	60.61	5.112	-2.925	64.53	0.000239	2.132e-14	2.132e-14	0	-8.897	0.5664	2.794	15.5	-12.39	67.45	0.3507	0.3368	0.9024	0.09764	1.33	1.278	-98120	-684700	-36.32	-9.287	9.287	-0.574	3.027	-90680	-675500	-47.79	-9.139	9.139	-0.618	2.672	378.3	0.9875	0.763	0.03311	-0.137	-0.7498	0.05163	10050	1402	7993	655	5.433	4.826	1.619	1.097	344.8
2-3l	7.29	-101100	-757600	-35.87	-9.179	9.179	-0.7968	4.774	684	233	199.6	580.3	103.8	972.5	833	33.44	139.6	74.94	6.929	1.616	76.33	0.0002455	-1.421e-14	-1.421e-14	0	-17.31	0.9152	3.351	16.44	-12.59	74.71	0.3407	0.2918	0.8483	0.1517	1.422	1.218	-101400	-750400	-16.3	-9.336	9.336	-0.9727	4.432	-93830	-744200	-45.22	-9.146	9.146	-0.7461	4.506	414.1	0.971	1.423	0.3689	-0.3012	-1.341	0.04929	12290	1490	10100	705.4	5.808	5.464	1.568	1.213	375.4
2-3m	7.54	-129000	-1054000	-31.96	-9.194	9.194	-1.106	3.009	819.2	301.5	296.8	702.2	117.1	1751	1723	4.781	27.76	100	8.704	14.17	101.7	0.0003931	1.421e-14	1.421e-14	0	-24.56	0.8318	4.803	19.22	-16	87.53	0.3681	0.3622	0.8571	0.1429	2.137	2.103	-130000	-1038000	101.9	-9.317	9.317	-1.754	3.046	-119900	-1028000	-36.37	-9.185	9.185	-1.128	4.305	512.1	1.014	0.973	0.8782	-0.3162	-0.2748	0.04293	22970	1646	20280	1035	6.941	6.766	1.649	1.402	470
2-3n	6.1	-88690	-642100	10.48	-9.132	9.132	-0.4229	2.752	621.4	255.1	168.7	538.7	82.66	1039	687.3	86.39	351.9	66.35	7.426	4.697	67.85	0.0002607	-1.421e-14	-1.421e-14	0	-8.354	0.7033	2.754	17.62	-12.39	63.15	0.4105	0.2715	0.867	0.133	1.672	1.106	-88890	-639000	16.62	-9.237	9.237	-0.4454	4.151	-81530	-630300	1.618	-9.085	9.085	-0.5633	2.212	372	0.9541	0.684	-0.21	0.5581	-0.3351	0.05134	8572	1337	6599	635.9	5.148	4.794	1.629	1.086	339
2-3o	7.16	-88690	-642900	13.4	-9.151	9.151	-0.4445	2.569	616.5	260.5	158.4	538.7	77.88	1022	621.6	102.1	400.7	63.6	7.379	-2.252	64.93	0.0002443	-2.132e-14	-2.132e-14	0	-15.71	0.7383	2.943	17.73	-12.39	67.19	0.4226	0.257	0.8737	0.1263	1.658	1.008	-88890	-638700	50.31	-9.281	9.281	-0.4704	3.69	-81530	-630700	2.58	-9.129	9.129	-0.6703	1.135	369.1	0.9576	0.3913	-0.2059	0.01198	-0.3326	0.04987	8590	1333	6624	632.8	5.153	4.738	1.627	1.058	337.8
2-3p	7.41	-88690	-642400	29	-9.183	9.183	-0.3312	3.431	616.8	263.8	155.4	537.5	79.26	1035	609.9	108.3	425	56.45	7.553	-8.998	57.58	0.000244	-1.421e-14	-1.421e-14	0	-14.64	0.7415	2.972	16.89	-12.39	66.57	0.4277	0.252	0.8715	0.1285	1.678	0.9888	-88890	-637700	18.43	-9.299	9.299	-0.4008	3.108	-81530	-630800	3.351	-9.157	9.157	-0.672	2.843	370.2	0.9644	0.796	0.03468	-0.2636	-0.7503	0.05379	8619	1337	6646	636.2	5.162	4.687	1.63	1.087	335.4
2-3r	5.8	-89140	-686900	-58.71	-9.175	9.175	0.499	3.063	638.5	129.1	102.2	582	56.48	387.7	306.8	26.93	80.88	41.14	4.655	-8.152	51.19	0.0001395	7.105e-15	7.105e-15	0	-8.722	0.1074	3.095	14.91	-17.9	59.34	0.2022	0.16	0.9115	0.08846	0.6073	0.4806	-89390	-676900	-37.56	-9.33	9.33	0.2209	2.483	-83050	-676500	-55.92	-9.113	9.113	0.3205	2.64	386.8	0.9231	0.7528	0.0289	0.0816	-0.7478	0.03697	9044	1628	6738	678	5.247	5.123	1.624	0.9851	355.9
2-9	6.28	-85690	-635400	-8.479	-9.106	9.106	-0.3328	2.408	627.9	221.3	187.3	581.7	46.22	669	566.3	33.97	102.7	66.88	3.581	6.247	73.6	0.0002488	0	0	0	-7.958	0.3712	2.496	11.86	-13.17	67.35	0.3524	0.2983	0.9264	0.0736	1.065	0.9019	-85880	-629200	4.149	-9.309	9.309	-0.05127	2.044	-80230	-627300	-10.31	-9.049	9.049	-0.4255	2.242	377.8	0.9237	0.7485	-0.1234	0.5562	-0.4855	0.04823	8644	1467	6397	779	5.185	4.815	1.671	1.058	348
3-12a	7.89	-106300	-817900	-43.01	-8.706	8.706	-0.4587	3.707	687.3	238.1	174.8	539.7	147.6	917.6	673.7	63.29	243.9	144.6	25.97	6.665	127.1	0.0003437	-4.263e-14	-4.263e-14	0	-14.53	-0.8713	3.15	60.61	-10.69	120.4	0.3464	0.2543	0.7852	0.2148	1.335	0.9802	-106600	-808900	-48.39	-8.796	8.796	-0.5347	3.775	-99210	-806700	-55.24	-8.923	8.923	-0.5464	3.701	410.9	0.9834	1.333	-0.03379	-1.332	-0.04613	0.05736	10730	8776	1488	466.2	5.332	5.097	1.644	1.221	383.9
3-13a	4.3	-113700	-886400	-102.2	-8.789	8.789	-0.3882	4.822	687.1	226.8	181.8	525.2	161.9	843.4	676	45	167.3	169.6	24.38	0.2721	139.4	0.0002955	-2.842e-14	-2.842e-14	0	-17.58	-0.2642	4.311	76.37	1.795	139.1	0.3301	0.2646	0.7643	0.2357	1.227	0.9839	-114100	-872200	-103.9	-9.22	9.22	-0.6637	3.972	-106000	-877300	-114.3	-8.955	8.955	-0.4469	4.968	414.7	1.026	1.29	1.131	-0.603	0.1483	0.06274	10990	2412	5337	3242	5.285	4.957	1.629	1.242	383.6
3-13b	5.27	-84440	-587200	-101.9	-8.748	8.748	-0.3408	3.862	542.4	149	87.22	374	168.4	393.2	230.1	61.81	163.1	113.8	20.55	2.618	98.85	0.0001848	0	0	0	-13.49	-0.7308	2.991	55.51	-7.848	96.23	0.2748	0.1608	0.6896	0.3104	0.7249	0.4243	-84710	-579900	-100.5	-8.783	8.783	-0.5223	3.624	-78690	-578200	-104.6	-8.954	8.954	-0.4231	3.837	318.3	0.9974	1.206	0.1025	-1.201	0.03364	0.06403	4664	3867	641	156.1	4.015	3.879	1.716	0.9817	290.1
3-13c	5.68	-88650	-695400	-7.903	-9.123	9.123	-0.3083	3.61	620.1	210.6	180.4	572.2	47.93	635.4	544.4	30.16	90.99	73.99	3.103	5.88	79.64	0.0004089	-3.553e-15	-3.553e-15	0	-8.321	0.3472	2.85	14.42	-11.95	73.76	0.3396	0.291	0.9227	0.07729	1.025	0.8779	-88830	-688000	10.09	-9.329	9.329	-0.4296	3.038	-82960	-687000	-11.97	-9.104	9.104	-0.3779	3.579	372.5	0.9484	1.294	-0.2972	-0.131	1.253	0.08273	7329	630.4	6352	346.2	4.688	4.304	1.617	1.238	351.6
3-13d	4.82	-92240	-757600	-10.04	-9.071	9.071	0.05203	2.569	625.8	196.6	169	587.8	38.07	593.3	510	27.61	83.31	84.86	3.732	7.095	80.87	0.007245	-1.421e-14	-1.421e-14	0	-12.64	0.2968	2.867	15.62	-2.916	73.78	0.3142	0.2701	0.9392	0.06083	0.9479	0.8148	-92430	-746500	6.383	-9.28	9.28	-0.1475	2.494	-86410	-747000	-13.34	-9.067	9.067	-0.02632	2.422	392.6	0.9453	0.9278	0.6062	0.2325	0.6627	0.06521	7369	1821	2694	2854	4.605	4.327	1.63	1.105	367.6
3-13e_E2020	8.24	-107000	-841100	-69.88	-8.744	8.744	-0.3377	3.541	679.9	222.3	156.6	545.8	134.1	765.3	538.9	65.77	226.4	146.7	20.98	4.243	128.6	0.0003393	2.309e-14	2.309e-14	0	-11.74	-0.6709	3.391	62.3	-5.588	124.3	0.327	0.2303	0.8028	0.1972	1.126	0.7926	-107300	-831700	-68.87	-9.304	9.304	-0.713	2.923	-99940	-831000	-78.81	-8.929	8.929	-0.4143	3.667	413.9	0.9816	1.23	0.953	0.4722	0.6182	0.0698	10440	779.8	7089	2570	5.245	4.936	1.611	1.304	386.6
