__MOL_ID__	LogS	moeGao_Abra_L	moeGao_Abra_R	moeGao_Abra_acidity	moeGao_Abra_basicity	moeGao_Abra_pi	moe2D_BCUT_PEOE_0	moe2D_BCUT_PEOE_1	moe2D_BCUT_PEOE_2	moe2D_BCUT_PEOE_3	moe2D_BCUT_SLOGP_0	moe2D_BCUT_SLOGP_1	moe2D_BCUT_SLOGP_2	moe2D_BCUT_SLOGP_3	moe2D_BCUT_SMR_0	moe2D_BCUT_SMR_1	moe2D_BCUT_SMR_2	moe2D_BCUT_SMR_3	moe2D_FCharge	moe2D_GCUT_PEOE_0	moe2D_GCUT_PEOE_1	moe2D_GCUT_PEOE_2	moe2D_GCUT_PEOE_3	moe2D_GCUT_SLOGP_0	moe2D_GCUT_SLOGP_1	moe2D_GCUT_SLOGP_2	moe2D_GCUT_SLOGP_3	moe2D_GCUT_SMR_0	moe2D_GCUT_SMR_1	moe2D_GCUT_SMR_2	moe2D_GCUT_SMR_3	moe2D_Kier1	moe2D_Kier2	moe2D_Kier3	moe2D_KierA1	moe2D_KierA2	moe2D_KierA3	moe2D_KierFlex	moe2D_PEOE_PC+	moe2D_PEOE_PC-	moe2D_PEOE_RPC+	moe2D_PEOE_RPC-	moe2D_PEOE_VSA+0	moe2D_PEOE_VSA+1	moe2D_PEOE_VSA+2	moe2D_PEOE_VSA+3	moe2D_PEOE_VSA+4	moe2D_PEOE_VSA+5	moe2D_PEOE_VSA+6	moe2D_PEOE_VSA-0	moe2D_PEOE_VSA-1	moe2D_PEOE_VSA-2	moe2D_PEOE_VSA-3	moe2D_PEOE_VSA-4	moe2D_PEOE_VSA-5	moe2D_PEOE_VSA-6	moe2D_PEOE_VSA_FHYD	moe2D_PEOE_VSA_FNEG	moe2D_PEOE_VSA_FPNEG	moe2D_PEOE_VSA_FPOL	moe2D_PEOE_VSA_FPOS	moe2D_PEOE_VSA_FPPOS	moe2D_PEOE_VSA_HYD	moe2D_PEOE_VSA_NEG	moe2D_PEOE_VSA_PNEG	moe2D_PEOE_VSA_POL	moe2D_PEOE_VSA_POS	moe2D_PEOE_VSA_PPOS	moe2D_Q_PC+	moe2D_Q_PC-	moe2D_Q_RPC+	moe2D_Q_RPC-	moe2D_Q_VSA_FHYD	moe2D_Q_VSA_FNEG	moe2D_Q_VSA_FPNEG	moe2D_Q_VSA_FPOL	moe2D_Q_VSA_FPOS	moe2D_Q_VSA_FPPOS	moe2D_Q_VSA_HYD	moe2D_Q_VSA_NEG	moe2D_Q_VSA_PNEG	moe2D_Q_VSA_POL	moe2D_Q_VSA_POS	moe2D_Q_VSA_PPOS	moe2D_SMR	moe2D_SMR_VSA0	moe2D_SMR_VSA1	moe2D_SMR_VSA2	moe2D_SMR_VSA3	moe2D_SMR_VSA4	moe2D_SMR_VSA5	moe2D_SMR_VSA6	moe2D_SMR_VSA7	moe2D_SlogP	moe2D_SlogP_VSA0	moe2D_SlogP_VSA1	moe2D_SlogP_VSA2	moe2D_SlogP_VSA3	moe2D_SlogP_VSA4	moe2D_SlogP_VSA5	moe2D_SlogP_VSA6	moe2D_SlogP_VSA7	moe2D_SlogP_VSA8	moe2D_SlogP_VSA9	moe2D_TPSA	moe2D_VAdjEq	moe2D_VAdjMa	moe2D_VDistEq	moe2D_VDistMa	moe2D_Weight	moe2D_a_IC	moe2D_a_ICM	moe2D_a_acc	moe2D_a_aro	moe2D_a_base	moe2D_a_count	moe2D_a_don	moe2D_a_heavy	moe2D_a_hyd	moe2D_a_nBr	moe2D_a_nC	moe2D_a_nCl	moe2D_a_nF	moe2D_a_nH	moe2D_a_nI	moe2D_a_nN	moe2D_a_nO	moe2D_a_nP	moe2D_a_nS	moe2D_apol	moe2D_b_1rotN	moe2D_b_1rotR	moe2D_b_ar	moe2D_b_count	moe2D_b_double	moe2D_b_heavy	moe2D_b_rotN	moe2D_b_rotR	moe2D_b_single	moe2D_b_triple	moe2D_balabanJ	moe2D_bpol	moe2D_chi0	moe2D_chi0_C	moe2D_chi0v	moe2D_chi0v_C	moe2D_chi1	moe2D_chi1_C	moe2D_chi1v	moe2D_chi1v_C	moeGao_chi2_C	moeGao_chi2v_C	moeGao_chi3c	moeGao_chi3c_C	moeGao_chi3cv	moeGao_chi3cv_C	moeGao_chi3p	moeGao_chi3p_C	moeGao_chi3pv	moeGao_chi3pv_C	moeGao_chi4c	moeGao_chi4c_C	moeGao_chi4ca	moeGao_chi4ca_C	moeGao_chi4cav	moeGao_chi4cav_C	moeGao_chi4cv	moeGao_chi4cv_C	moeGao_chi4pc	moeGao_chi4pc_C	moeGao_chi4pcv	moeGao_chi4pcv_C	moe2D_chiral	moe2D_chiral_u	moe2D_density	moe2D_diameter	moe2D_kS_X	moe2D_kS_aaCH	moe2D_kS_aaN	moe2D_kS_aaNH	moe2D_kS_aaO	moe2D_kS_aaS	moe2D_kS_aaaC	moe2D_kS_aasC	moe2D_kS_aasN	moe2D_kS_dCH2	moe2D_kS_dNH	moe2D_kS_dO	moe2D_kS_dS	moe2D_kS_ddC	moe2D_kS_ddsN	moe2D_kS_ddssS	moe2D_kS_dsCH	moe2D_kS_dsN	moe2D_kS_dssC	moe2D_kS_dssS	moe2D_kS_dsssP	moe2D_kS_sBr	moe2D_kS_sCH3	moe2D_kS_sCl	moe2D_kS_sF	moe2D_kS_sI	moe2D_kS_sNH2	moe2D_kS_sOH	moe2D_kS_sSH	moe2D_kS_ssCH2	moe2D_kS_ssNH	moe2D_kS_ssO	moe2D_kS_ssS	moe2D_kS_sssCH	moe2D_kS_sssN	moe2D_kS_ssssC	moe2D_kS_ssssN	moe2D_kS_tCH	moe2D_kS_tNH	moe2D_kS_tsC	moe2D_lip_acc	moe2D_lip_don	moe2D_lip_druglike	moe2D_lip_violation	moe2D_logP(o/w)	moe2D_logS	moe2D_mr	moe2D_opr_brigid	moe2D_opr_leadlike	moe2D_opr_nring	moe2D_opr_nrot	moe2D_opr_violation	moe2D_petitjean	moe2D_petitjeanSC	moe2D_radius	moe2D_reactive	moe2D_rings	moe2D_vdw_area	moe2D_vdw_vol	moe2D_vsa_acc	moe2D_vsa_base	moe2D_vsa_don	moe2D_vsa_hyd	moe2D_vsa_other	moe2D_vsa_pol	moe2D_weinerPath	moe2D_weinerPol	moe2D_zagreb
76-57-3	-1.52	10.44	1.898	0.286	1.501	1.634	-2.87	-0.5138	0.5587	2.883	-2.933	-0.4906	0.6058	2.852	-2.611	-0.3691	0.6972	3.137	0	-0.8562	-0.3964	0.0481	3.084	-0.9609	-0.3498	0.1034	3.114	-0.5223	-0.1997	0.1335	3.334	14.35	4.762	1.644	12.35	4.068	1.396	2.284	1.681	-1.681	0.1251	0.2291	75.06	38.39	26.73	0	10.32	0	0	70.51	36.76	0	0	0	0	12.78	0.9146	0.4437	0.04722	0.08538	0.5563	0.03816	247.4	120	12.78	23.1	150.5	10.32	3.378	-3.378	0.1238	0.2398	0.5491	0.2447	0.1378	0.4509	0.7553	0.3131	148.6	66.21	37.28	122	204.3	84.71	8.246	0	50.51	4.411	33.78	0	108.3	18.44	68.28	1.501	47.39	3.124	16.92	18.44	10.78	87.15	0	70.57	18.87	10.49	41.93	0.4921	5.7	2.73	8.685	299.4	61.28	1.425	4	6	0	43	1	22	18	0	18	0	0	21	0	1	3	0	0	49.19	1	0.03846	6	47	1	26	1	0.03846	40	0	1.633	28.77	15.06	12.07	12.95	11.24	10.66	6.836	8.102	5.77	5.711	4.503	1.859	0.8305	1.218	0.6661	10.01	5.095	6.354	3.775	0.06804	0.06804	9.081	4.213	5.271	2.867	0.05893	0.05893	5.573	2.402	3.316	1.783	5	5	0.7332	9	0	4.205	0	0	0	0	0	4.356	0	0	0	0	0	0	0	0	4.172	0	0	0	0	0	3.907	0	0	0	0	10.55	0	3.132	0	11.83	0	0.1976	2.472	-0.08056	0	0	0	0	4	1	1	0	1.201	-2.06	8.214	22	1	5	1	1	0.4444	0.8	5	0	5	270.5	408.3	5.008	0	0	231.9	0	18.57	824	51	136
108-03-2	-0.8	2.616	0.164	0.03	0.719	0.819	-2.424	-0.1893	0.417	2.564	-2.498	-0.2402	0.3341	2.533	-2.282	-0.1286	0.4571	2.688	1	-0.7404	-0.2171	0.1078	1.99	-0.9386	-0.2545	0.05319	1.942	-0.5726	-0.1669	0.1602	2.09	6	3.2	5.333	4.916	2.497	3.959	2.046	1.15	-0.1497	0.2648	0.6042	30.03	16.97	8.531	4.028	13.19	0	10.32	0	29.91	0	0	0	0	0	0.7919	0.2648	0	0.2081	0.7352	0.2081	89.47	29.91	0	23.52	83.07	23.52	1.6	-0.6	0.6734	0.8333	0.7741	0.249	0.09883	0.2259	0.751	0.127	87.46	28.13	11.17	25.52	84.85	14.35	2.141	7.552	0	49.7	0	0	18.87	18.44	33.33	0.5645	0	7.552	25.6	42.54	0	0	0	0	18.87	33.33	40.31	0.8524	3.322	1.909	4.742	90.1	22.55	1.611	2	0	1	14	1	6	3	0	3	0	0	8	0	1	2	0	0	13.32	2	0.4	0	13	1	5	2	0.4	12	0	2.693	9.044	4.992	2.414	3.717	2.414	2.77	1.207	1.906	1.207	0.5	0.5	0.4082	0	0.05774	0	0.866	0	0.4149	0	0	0	0.5774	0	0.1913	0	0	0	0.2887	0	0.04082	0	0	0	0.7803	4	0	0	0	0	0	0	0	0	0	0	0	9.516	0	0	-0.06944	0	0	0	0	0	0	0	1.821	0	0	0	0	7.83	0	0.9028	0	0	0	0	0	0	0	0	0	0	3	1	1	0	0.668	-0.137	2.233	0	1	0	2	0	0.5	1	2	0	0	113	115.5	16.97	4.028	0	65.52	0	33.93	32	3	20
98-95-3	-1.8	4.266	0.788	0.03	0.767	1.245	-2.105	-0.5717	0.7298	2.245	-2.07	-0.5525	0.7633	2.32	-1.889	-0.4787	0.8183	2.443	1	-0.7328	-0.3413	0.1412	2.01	-0.8822	-0.3122	0.1677	2.092	-0.5529	-0.234	0.2237	2.214	7.111	3.24	2	4.605	1.966	1.138	1.006	1.256	-0.2564	0.243	0.3299	24.51	38.29	0	0	4.028	0	17.02	0	47.93	0	0	0	0	0	0.8403	0.3637	0	0.1597	0.6363	0.1597	110.7	47.93	0	21.05	83.85	21.05	2.35	-1.35	0.4585	0.3704	0.8064	0.6784	0.08473	0.1936	0.3216	0.1089	106.3	89.41	11.17	25.52	42.38	14.35	3.236	7.552	0	49.7	0	2.757	88.22	0	0	1.486	0	7.552	25.6	24.1	0	0	0	88.22	0	2.757	40.31	0.7642	4.17	2.15	6.005	124.1	25.58	1.706	2	6	1	15	1	9	6	0	6	0	0	6	0	1	2	0	0	17.26	1	0.1111	6	15	1	9	1	0.1111	8	0	2.291	6.857	6.69	4.113	4.689	3.387	4.305	2.816	2.517	1.911	1.927	1.077	0.5	0	0.1154	0	2.593	1.316	0.9771	0.6071	0	0	1.801	0.8985	0.5555	0.3419	0	0	1.04	0	0.197	0	0	0	0.7897	5	0	8.167	0	0	0	0	0	0.2477	0	0	0	10.12	0	0	-0.1667	0	0	0	0	0	0	0	0	0	0	0	0	8.301	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	1.367	-1.432	3.357	6	1	1	1	0	0.4	0.6667	3	0	1	131.8	157.2	16.97	4.028	0	85.74	0	33.93	88	9	40
88-72-2	-2.33	4.742	0.796	0.03	0.763	1.221	-2.237	-0.5022	0.6476	2.33	-2.158	-0.475	0.6999	2.418	-2.01	-0.4195	0.7476	2.546	1	-0.7328	-0.3163	0.1115	2.14	-0.8824	-0.2732	0.1503	2.223	-0.5532	-0.2075	0.2018	2.347	8.1	3.408	1.991	5.514	2.207	1.237	1.217	1.286	-0.2864	0.2395	0.2953	27.26	34.03	0	0	4.028	0	17.02	18.75	47.93	0	0	0	0	0	0.8587	0.4475	0	0.1413	0.5525	0.1413	128	66.68	0	21.05	82.34	21.05	2.344	-1.344	0.4598	0.3722	0.8288	0.5326	0.07493	0.1712	0.4674	0.09631	123.5	79.36	11.17	25.52	69.66	14.35	3.71	7.552	0	49.7	3.186	2.757	70.57	0	33.33	1.795	0	7.552	25.6	24.1	3.186	0	0	70.57	0	36.08	40.31	0.7219	4.322	2.151	6.339	138.1	29.41	1.634	2	6	1	18	1	10	7	0	7	0	0	8	0	1	2	0	0	20.36	1	0.1	6	18	1	10	1	0.1	11	0	2.452	9.044	7.56	4.983	5.612	4.309	4.715	3.227	2.934	2.327	2.497	1.546	0.7051	0.2357	0.2497	0.1443	3.034	1.683	1.322	0.8646	0	0	2.335	1.131	0.778	0.4831	0	0	1.498	0.3333	0.4695	0.1667	0	0	0.7607	5	0	6.824	0	0	0	0	0	1.058	0	0	0	10.34	0	0	-0.1296	0	0	0	0	0	0	0	1.76	0	0	0	0	8.482	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	1.663	-1.592	3.813	6	1	1	1	0	0.4	0.6667	3	0	1	149	181.6	16.97	4.028	0	101.6	0	33.93	114	12	46
99-08-1	-2.44	4.742	0.796	0.03	0.763	1.221	-2.254	-0.483	0.6809	2.3	-2.144	-0.5065	0.6843	2.405	-1.999	-0.4292	0.7619	2.538	1	-0.7505	-0.3108	0.1323	2.123	-0.8823	-0.2982	0.1553	2.213	-0.5531	-0.2221	0.2133	2.338	8.1	3.408	2.286	5.514	2.207	1.42	1.217	1.281	-0.2815	0.2384	0.3005	37.31	34.03	0	0	4.028	0	17.02	20.96	35.68	0	0	0	0	0	0.8587	0.38	0	0.1413	0.62	0.1413	128	56.63	0	21.05	92.38	21.05	2.344	-1.344	0.4598	0.3722	0.8288	0.5326	0.07493	0.1712	0.4674	0.09631	123.5	79.36	11.17	25.52	69.66	14.35	3.71	7.552	0	49.7	3.186	2.757	70.57	0	33.33	1.795	0	7.552	25.6	24.1	3.186	0	0	70.57	0	36.08	40.31	0.7219	4.322	2.225	6.326	138.1	29.41	1.634	2	6	1	18	1	10	7	0	7	0	0	8	0	1	2	0	0	20.36	1	0.1	6	18	1	10	1	0.1	11	0	2.373	9.044	7.56	4.983	5.612	4.309	4.698	3.21	2.928	2.321	2.56	1.581	0.7887	0.2887	0.282	0.1667	2.92	1.674	1.223	0.8626	0	0	2.087	1.131	0.747	0.4831	0	0	1.39	0.3708	0.3708	0.1796	0	0	0.7607	5	0	6.714	0	0	0	0	0	1.215	0	0	0	10.27	0	0	-0.1458	0	0	0	0	0	0	0	1.854	0	0	0	0	8.426	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	1.702	-1.906	3.809	6	1	1	1	0	0.4	0.6667	3	0	1	149	181.6	16.97	4.028	0	101.6	0	33.93	117	11	46
99-99-0	-2.49	4.742	0.796	0.03	0.763	1.221	-2.258	-0.4937	0.7133	2.291	-2.14	-0.5397	0.6914	2.401	-1.996	-0.4406	0.7778	2.535	1	-0.756	-0.3149	0.1322	2.116	-0.8823	-0.3014	0.16	2.209	-0.553	-0.2289	0.2229	2.334	8.1	3.408	2.286	5.514	2.207	1.42	1.217	1.279	-0.279	0.2387	0.3032	37.31	34.03	0	0	4.028	0	17.02	18.75	37.88	0	0	0	0	0	0.8587	0.38	0	0.1413	0.62	0.1413	128	56.63	0	21.05	92.38	21.05	2.344	-1.344	0.4598	0.3722	0.8288	0.5326	0.07493	0.1712	0.4674	0.09631	123.5	79.36	11.17	25.52	69.66	14.35	3.71	7.552	0	49.7	3.186	2.757	70.57	0	33.33	1.795	0	7.552	25.6	24.1	3.186	0	0	70.57	0	36.08	40.31	0.7219	4.322	2.344	6.306	138.1	29.41	1.634	2	6	1	18	1	10	7	0	7	0	0	8	0	1	2	0	0	20.36	1	0.1	6	18	1	10	1	0.1	11	0	2.31	9.044	7.56	4.983	5.612	4.309	4.698	3.21	2.928	2.321	2.549	1.577	0.7887	0.2887	0.282	0.1667	3.003	1.727	1.255	0.8849	0	0	1.953	1.093	0.6723	0.4702	0	0	1.449	0.4082	0.3894	0.1925	0	0	0.7607	6	0	6.636	0	0	0	0	0	1.316	0	0	0	10.23	0	0	-0.1533	0	0	0	0	0	0	0	1.913	0	0	0	0	8.392	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	1.665	-1.906	3.809	6	1	1	1	0	0.5	1	3	0	1	149	181.6	16.97	4.028	0	101.6	0	33.93	120	11	46
100-02-7	-0.74	5.093	0.961	0.573	1.04	1.543	-2.122	-0.627	0.7174	2.258	-2.069	-0.5382	0.8059	2.37	-1.899	-0.4999	0.8543	2.46	1	-0.7638	-0.3613	0.2195	2.045	-0.8822	-0.3365	0.1645	2.151	-0.5529	-0.2486	0.2813	2.248	8.1	3.408	2.286	5.514	2.207	1.42	1.217	1.495	-0.4953	0.2043	0.7265	24.51	42.49	0	0	14.35	0	17.02	24.51	11.17	0	0	0	0	7.768	0.724	0.3063	0.05477	0.276	0.6937	0.2212	102.7	43.44	7.768	39.14	98.37	31.38	2.733	-1.733	0.3943	0.3074	0.6925	0.5988	0.1335	0.3075	0.4012	0.174	98.2	84.92	18.93	43.61	56.9	24.68	3.402	7.552	25.39	49.7	5.243	2.757	70.57	0	0	1.192	25.39	7.552	25.6	24.1	0	0	0	70.57	0	8	60.54	0.7219	4.322	2.344	6.306	140.1	28.23	1.764	3	6	1	16	2	10	6	0	6	0	0	6	0	1	3	0	0	18.07	1	0.1	6	16	1	10	1	0.1	9	0	2.31	6.857	7.56	3.983	5.059	3.309	4.698	2.633	2.651	1.821	1.732	1	0.7887	0	0.1899	0	3.003	1.15	1.071	0.5516	0	0	1.953	0.7601	0.5802	0.3036	0	0	1.449	0	0.283	0	0	0	0.8457	6	0	5.248	0	0	0	0	0	0.1559	0	0	0	10.15	0	0	-0.2644	0	0	0	0	0	0	0	0	0	0	0	0	17.05	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	1.059	-1.07	3.474	6	1	1	1	0	0.5	1	3	0	1	141.8	165.7	16.97	4.028	0	78.39	0	47.5	120	11	46
88-75-5	-1.74	5.012	0.892	0.322	1.015	1.263	-2.118	-0.538	0.7568	2.275	-2.068	-0.575	0.7449	2.386	-1.903	-0.4713	0.8045	2.464	1	-0.7368	-0.3268	0.209	2.056	-0.8824	-0.3333	0.171	2.16	-0.5529	-0.2534	0.28	2.252	8.1	3.408	1.991	5.514	2.207	1.237	1.217	1.578	-0.5778	0.212	0.613	12.25	34.03	0	8.459	14.35	0	17.02	12.25	35.68	0	0	0	0	7.768	0.724	0.3928	0.05477	0.276	0.6072	0.2212	102.7	55.7	7.768	39.14	86.12	31.38	2.733	-1.733	0.3943	0.3074	0.6925	0.5988	0.1335	0.3075	0.4012	0.174	98.2	84.92	18.93	43.61	56.9	24.68	3.402	7.552	25.39	49.7	5.243	2.757	70.57	0	0	1.192	25.39	7.552	25.6	24.1	0	0	0	70.57	0	8	60.54	0.7219	4.322	2.151	6.339	140.1	28.23	1.764	3	6	1	16	2	10	6	0	6	0	0	6	0	1	3	0	0	18.07	1	0.1	6	16	1	10	1	0.1	9	0	2.452	6.857	7.56	3.983	5.059	3.309	4.715	2.65	2.657	1.827	1.756	1.007	0.7051	0	0.1699	0	3.034	1.158	1.088	0.5536	0	0	2.335	0.7601	0.6259	0.3036	0	0	1.498	0	0.306	0	0	0	0.8457	5	0	5.72	0	0	0	0	0	-0.3866	0	0	0	10.18	0	0	-0.3796	0	0	0	0	0	0	0	0	0	0	0	0	17.2	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	1.057	-1.07	3.478	6	1	1	1	0	0.4	0.6667	3	0	1	141.8	165.7	16.97	4.028	0	78.39	0	47.5	114	12	46
554-84-7	-1.01	5.067	0.961	0.573	1.028	1.505	-2.121	-0.58	0.7666	2.262	-2.068	-0.5789	0.7625	2.374	-1.9	-0.4763	0.8155	2.461	1	-0.7602	-0.345	0.2497	2.048	-0.8823	-0.4058	0.1725	2.154	-0.553	-0.2696	0.2848	2.249	8.1	3.408	2.286	5.514	2.207	1.42	1.217	1.529	-0.5285	0.2013	0.6804	24.51	42.49	0	0	14.35	0	17.02	12.25	23.42	0	0	0	0	7.768	0.724	0.3063	0.05477	0.276	0.6937	0.2212	102.7	43.44	7.768	39.14	98.37	31.38	2.733	-1.733	0.3943	0.3074	0.6925	0.5988	0.1335	0.3075	0.4012	0.174	98.2	84.92	18.93	43.61	56.9	24.68	3.402	7.552	25.39	49.7	5.243	2.757	70.57	0	0	1.192	25.39	7.552	25.6	24.1	0	0	0	70.57	0	8	60.54	0.7219	4.322	2.225	6.326	140.1	28.23	1.764	3	6	1	16	2	10	6	0	6	0	0	6	0	1	3	0	0	18.07	1	0.1	6	16	1	10	1	0.1	9	0	2.373	6.857	7.56	3.983	5.059	3.309	4.698	2.633	2.651	1.821	1.744	1.003	0.7887	0	0.1899	0	2.92	1.15	1.051	0.5516	0	0	2.087	0.7601	0.612	0.3036	0	0	1.39	0	0.2715	0	0	0	0.8457	5	0	5.415	0	0	0	0	0	-0.03481	0	0	0	10.16	0	0	-0.3058	0	0	0	0	0	0	0	0	0	0	0	0	17.1	0	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	1.096	-1.07	3.474	6	1	1	1	0	0.4	0.6667	3	0	1	141.8	165.7	16.97	4.028	0	78.39	0	47.5	117	11	46
88-85-7	-3.38	8.103	1.017	0.322	1.601	1.83	-2.594	-0.4194	0.7316	2.566	-2.437	-0.5519	0.63	2.72	-2.344	-0.4147	0.7403	2.815	2	-0.7871	-0.2851	0.173	2.532	-0.8853	-0.328	0.1601	2.625	-0.5567	-0.2652	0.2734	2.713	15.06	6.25	3.484	11.37	4.628	2.54	3.095	2.713	-0.713	0.1258	0.4965	50.64	42.46	12.25	8.459	18.38	0	34.05	10.91	59.83	0	0	0	0	7.768	0.7541	0.3208	0.03174	0.2459	0.6792	0.2142	184.6	78.51	7.768	60.2	166.2	52.43	4.176	-2.176	0.258	0.2447	0.7176	0.3708	0.123	0.2824	0.6292	0.1595	175.6	90.75	30.1	69.13	154	39.03	5.865	15.1	25.39	99.41	12.84	5.513	54.15	0	66.65	2.505	25.39	15.1	51.21	48.2	3.186	0	4.411	35.29	18.87	77.41	100.9	0.5226	5.087	2.679	7.921	242.2	53.45	1.724	5	6	2	31	3	17	10	0	10	0	0	14	0	2	5	0	0	33.15	4	0.2353	6	31	2	17	4	0.2353	23	0	2.841	15.9	13.16	7.008	9.492	6.439	7.879	4.326	5.072	3.636	3.238	2.489	1.534	0.3718	0.5641	0.2875	5.674	2.5	2.674	1.754	0	0	4.019	1.442	1.477	0.814	0	0	3.549	0.9279	1.187	0.6496	1	1	0.8304	7	0	2.157	0	0	0	0	0	-0.8028	0	0	0	21.6	0	0	-0.9796	0	0	0	0	0	0	0	3.639	0	0	0	0	27.36	0	0.6578	0	0	0	-0.1309	0	0	0	0	0	0	7	3	1	0	2.175	-2.823	5.892	6	1	1	4	0	0.4286	0.75	4	0	1	244.8	291.7	33.93	8.056	0	132.5	0	81.43	486	27	82
121-92-6	-1.68	5.843	0.908	0.618	1.089	1.602	-2.124	-0.5887	0.7189	2.284	-2.136	-0.5611	0.7303	2.326	-1.904	-0.4555	0.8085	2.499	1	-0.7116	-0.3982	0.2001	2.117	-0.8827	-0.4064	0.1878	2.157	-0.5529	-0.2506	0.2753	2.326	10.08	4.297	2.778	6.743	2.755	1.722	1.548	1.774	-0.7745	0.1725	0.4228	24.51	36.24	0	0	14.35	14.71	17.02	12.25	23.42	0	0	0	13.57	7.768	0.5885	0.348	0.1302	0.4115	0.652	0.2813	96.42	57.01	21.33	67.42	106.8	46.08	3.42	-2.42	0.3151	0.2686	0.5612	0.6011	0.1984	0.4388	0.3989	0.2404	91.95	98.49	32.5	71.89	65.35	39.38	3.932	31.41	0	75.09	3.186	2.757	70.57	7.745	0	1.184	0	15.3	25.6	49.48	27.05	0	0	70.57	0	2.757	77.61	0.65	4.585	2.474	6.864	168.1	31.9	1.772	4	6	1	18	3	12	6	0	7	0	0	6	0	1	4	0	0	20.63	2	0.1667	6	18	2	12	2	0.1667	10	0	2.442	7.815	9.138	4.56	5.968	3.809	5.609	2.966	3.105	2.071	2.215	1.292	1	0.1667	0.2443	0.08333	3.641	1.453	1.314	0.7071	0	0	2.478	0.9742	0.7579	0.3933	0	0	2.038	0.2141	0.405	0.08978	0	0	0.8789	6	0	5.087	0	0	0	0	0	-0.1414	0	0	0	20.67	0	0	-0.3825	0	0	0	-1.14	0	0	0	0	0	0	0	0	16.9	0	0	0	0	0	0	0	0	0	0	0	0	5	2	1	0	1.081	-1.401	4.012	6	1	1	2	0	0.5	1	3	0	1	163.8	191.3	16.97	4.028	0	72.14	14.71	61.06	197	15	56
91-23-6	-1.96	4.661	0.796	0.03	0.794	1.178	-2.218	-0.5376	0.648	2.303	-2.25	-0.5666	0.7367	2.399	-1.984	-0.4505	0.7959	2.506	1	-0.7728	-0.3261	0.06516	2.127	-0.8901	-0.326	0.1556	2.221	-0.5531	-0.2177	0.1733	2.328	9.091	4.133	2.215	6.439	2.813	1.454	1.647	1.565	-0.5651	0.2139	0.6047	37.25	46.82	0	8.459	4.028	0	17.02	12.25	35.68	0	0	0	0	2.504	0.8564	0.3075	0.01526	0.1436	0.6925	0.1283	140.5	50.43	2.504	23.56	113.6	21.05	2.563	-1.563	0.4205	0.32	0.6767	0.4856	0.08334	0.3233	0.5144	0.2399	111	79.66	13.67	53.02	84.37	39.35	3.891	7.552	11	49.7	5.243	2.757	70.57	0	35.38	1.495	11	7.552	25.6	24.1	0	35.38	0	70.57	0	8	49.54	0.684	4.459	2.248	6.625	154.1	32.3	1.7	2	6	1	19	1	11	7	0	7	0	0	8	0	1	3	0	0	21.16	2	0.1818	6	19	1	11	2	0.1818	12	0	2.488	10.96	8.268	4.983	6.02	4.309	5.253	2.65	3.046	1.827	1.756	1.007	0.6361	0	0.1643	0	3.349	1.158	1.291	0.5536	0	0	2.621	0.7601	0.7878	0.3036	0	0	1.488	0	0.3534	0	0	0	0.8018	5	0	6.41	0	0	0	0	0	0.4583	0	0	0	10.42	0	0	-0.2234	0	0	0	0	0	0	0	1.433	0	0	0	0	8.533	0	0	0	4.805	0	0	0	0	0	0	0	0	4	1	1	0	1.321	-1.482	3.992	6	1	1	2	0	0.4	0.6667	3	0	1	164	192.3	16.97	4.028	0	114.1	2.504	33.93	150	14	50
