__MOL_ID__	ACTIVITY	QikProp_#stars	QikProp_#amine	QikProp_#amidine	QikProp_#acid	QikProp_#amide	QikProp_#rotor	QikProp_#rtvFG	QikProp_CNS	QikProp_mol_MW	QikProp_dipole	QikProp_SASA	QikProp_FOSA	QikProp_FISA	QikProp_PISA	QikProp_WPSA	QikProp_volume	QikProp_donorHB	QikProp_accptHB	QikProp_dip^2/V	QikProp_ACxDN^.5/SA	QikProp_glob	QikProp_QPpolrz	QikProp_QPlogPC16	QikProp_QPlogPoct	QikProp_QPlogPw	QikProp_QPlogPo/w	QikProp_QPlogS	QikProp_CIQPlogS	QikProp_QPlogHERG	QikProp_QPPCaco	QikProp_QPlogBB	QikProp_QPPMDCK	QikProp_QPlogKp	QikProp_IP(eV)	QikProp_EA(eV)	QikProp_#metab	QikProp_QPlogKhsa	QikProp_HumanOralAbsorption	QikProp_PercentHumanOralAbsorption	QikProp_SAfluorine	QikProp_SAamideO	QikProp_PSA	QikProp_#NandO	QikProp_RuleOfFive	QikProp_#ringatoms	QikProp_#in34	QikProp_#in56	QikProp_#noncon	QikProp_#nonHatm	QikProp_RuleOfThree	QikProp_ACxDN^.5/SAxSASA/MW
68	4.77	0	0	1	0	1	10	0	-2	432.537	7.700	678.245	361.999	165.561	150.684	0.000	1276.317	4.250	8.500	0.0464483	0.0258361	0.8389790	39.942	13.254	24.495	16.487	1.759	-3.602	-4.513	-3.482	230.175	-1.607	118.521	-5.142	8.511	0.309	6	-0.362	3	79.520	0.000	8.018	122.246	8	0	12	0	12	0	30	0	0.0405126
69	4.57	0	1	1	0	1	7	0	-2	288.392	5.381	564.373	257.247	179.605	127.522	0.000	985.323	5.000	5.500	0.0293815	0.0217912	0.8484983	30.002	10.659	20.322	16.439	0.266	-0.915	-1.369	-3.943	29.259	-1.123	20.982	-7.834	8.455	0.183	4	-0.591	2	54.744	0.000	28.059	97.092	5	0	12	0	12	5	21	0	0.0426446
70	4.52	0	0	1	1	0	9	0	-2	397.448	7.390	625.303	34.792	226.640	363.871	0.000	1140.196	4.250	7.250	0.0479035	0.0239024	0.8441008	37.173	13.946	23.522	16.621	2.362	-3.488	-5.157	-3.982	17.794	-2.100	8.082	-5.613	8.490	1.067	2	-0.303	2	63.152	0.000	0.000	135.714	7	0	16	0	16	0	28	1	0.0376055
71	4.46	1	0	1	1	0	10	0	-2	554.619	11.006	741.636	43.004	245.563	453.069	0.000	1496.374	4.250	10.250	0.0809529	0.0284923	0.8531018	51.637	17.844	31.055	20.371	3.402	-4.418	-7.650	-4.262	11.771	-2.289	5.171	-5.552	8.401	1.281	3	0.085	2	53.070	0.000	0.000	159.092	9	1	26	0	26	1	40	1	0.0380999
72	4.36	0	0	1	0	1	9	0	-2	402.510	7.450	654.174	309.637	164.870	179.667	0.000	1215.380	4.250	7.750	0.0456644	0.0244232	0.8419381	38.422	12.902	23.613	16.071	1.703	-3.574	-4.203	-3.572	235.532	-1.530	120.471	-5.124	8.513	0.321	5	-0.357	3	79.369	0.000	7.587	115.512	7	0	12	0	12	0	28	0	0.0396935
73	8.48	0	0	1	0	1	10	0	-2	543.655	10.581	772.473	200.874	236.675	334.169	0.755	1497.310	3.250	12.750	0.0747692	0.0297556	0.8193885	50.539	16.828	30.097	22.647	1.330	-3.297	-5.491	-4.674	33.770	-2.387	22.337	-5.807	8.167	1.228	2	-0.502	2	49.133	0.000	28.014	149.227	10	1	22	0	22	4	37	0	0.0422794
74	7.89	0	0	1	0	0	12	1	-2	453.555	8.464	763.471	222.908	182.510	358.052	0.000	1396.741	3.250	7.250	0.0512901	0.0171194	0.7914983	45.458	15.821	24.554	14.488	3.818	-5.341	-6.339	-6.613	184.145	-2.102	79.446	-4.532	8.463	0.942	2	0.366	3	89.840	0.000	0.000	120.804	7	0	16	0	16	0	32	0	0.0288172
75	7.59	0	0	1	0	1	10	0	-2	543.655	8.852	758.838	200.521	221.414	336.149	0.753	1486.129	3.250	12.750	0.0527306	0.0302903	0.8299536	50.110	16.600	29.616	21.470	1.389	-3.563	-5.491	-4.512	61.184	-2.180	32.020	-5.519	8.350	1.113	2	-0.511	2	54.096	0.000	13.767	147.981	10	1	22	0	22	4	37	0	0.0422794
76	7.52	0	0	1	0	1	9	0	-2	492.635	8.990	719.097	214.876	172.362	331.859	0.000	1410.593	3.250	8.250	0.0572916	0.0206827	0.8458866	47.688	15.529	26.215	16.466	2.993	-4.515	-5.644	-4.234	193.902	-1.585	100.946	-4.726	8.441	0.957	2	0.099	3	85.413	0.000	9.273	112.592	7	0	24	0	16	7	35	0	0.0301904
77	7.44	0	1	1	0	1	9	0	-2	479.596	8.726	721.349	205.259	183.167	332.923	0.000	1396.652	3.250	10.250	0.0545204	0.0256165	0.8376803	47.141	15.505	27.079	18.923	1.546	-2.605	-4.150	-5.098	34.593	-1.321	19.290	-6.984	8.456	0.953	3	-0.263	2	63.544	0.000	14.677	122.911	8	0	22	0	22	4	34	0	0.0385292
78	7.28	0	0	1	0	1	9	0	-2	450.554	9.221	680.895	173.025	178.033	329.837	0.000	1314.421	3.250	8.250	0.0646917	0.0218431	0.8522645	43.820	14.712	24.969	16.950	2.375	-3.660	-5.314	-4.121	149.467	-1.613	88.301	-4.837	8.436	0.985	2	-0.130	3	79.774	0.000	16.717	118.353	7	0	21	0	21	4	32	0	0.0330102
79	7.16	0	0	1	0	1	10	1	-2	522.618	9.443	728.923	236.804	185.083	307.036	0.000	1449.640	3.250	10.250	0.0615131	0.0253503	0.8498133	48.372	15.772	27.617	17.749	2.364	-4.140	-5.969	-4.052	162.507	-1.748	74.765	-4.951	8.460	0.654	3	-0.163	3	67.397	0.000	3.755	138.867	9	1	22	0	22	5	37	0	0.0353574
80	6.77	0	0	1	0	1	9	0	-2	430.521	7.202	629.568	240.063	176.638	212.866	0.000	1224.847	3.250	9.950	0.0423416	0.0284919	0.8793808	39.118	13.118	23.799	17.336	1.131	-2.623	-4.132	-3.124	168.459	-1.502	91.255	-5.224	8.473	0.549	4	-0.556	3	73.416	0.000	11.852	123.535	8	0	18	0	18	4	30	0	0.0416648
81	6.59	0	0	1	0	2	10	0	-2	521.633	11.000	805.434	247.146	211.196	346.338	0.753	1508.952	4.250	10.750	0.0801820	0.0275152	0.7899242	51.121	17.207	30.504	23.898	1.546	-3.553	-5.044	-3.834	38.020	-2.294	40.754	-5.294	8.150	1.078	3	-0.537	2	51.317	0.000	51.898	147.723	9	1	22	0	22	5	37	0	0.0424852
82	6.55	0	0	1	0	1	13	0	-2	619.836	7.984	858.523	549.637	195.505	112.629	0.752	1756.498	3.250	12.750	0.0362879	0.0267732	0.8200583	56.869	17.175	31.254	19.228	2.914	-4.668	-6.742	-3.606	111.074	-2.156	59.020	-5.540	8.380	0.503	7	-0.006	2	67.663	0.000	12.100	141.980	10	1	18	0	18	4	42	1	0.037083
83	6.52	2	0	1	0	1	12	1	-2	598.715	10.526	932.955	185.734	198.974	547.494	0.753	1750.191	3.250	10.250	0.0633053	0.0198064	0.7528259	61.412	20.807	32.238	21.308	4.267	-6.334	-7.834	-6.768	77.232	-2.498	54.380	-4.168	8.156	1.101	4	0.384	1	72.758	0.000	27.793	145.202	9	1	28	0	28	5	43	1	0.0308636
84	6.28	2	0	1	0	1	9	0	-2	541.667	10.087	812.632	124.435	172.033	515.408	0.755	1560.990	3.250	9.250	0.0651783	0.0205206	0.8008254	55.460	18.297	29.744	20.320	3.700	-5.126	-7.150	-5.838	138.176	-1.765	102.707	-4.073	8.158	1.143	2	0.261	3	73.961	0.000	28.151	117.236	8	1	28	0	28	4	39	0	0.0307859
85	6.28	0	0	1	0	1	10	1	-2	536.645	9.214	741.464	242.655	186.094	312.715	0.000	1452.987	3.250	10.250	0.0584331	0.0249216	0.8367247	48.560	15.875	27.600	17.977	2.366	-4.266	-6.244	-4.291	153.060	-1.811	73.002	-4.950	8.451	0.739	3	-0.172	3	66.946	0.000	5.818	133.704	9	1	22	0	22	5	38	0	0.0344333
86	6.15	1	0	1	0	1	11	1	-2	550.671	10.575	864.612	325.113	192.408	346.338	0.753	1623.346	3.250	10.250	0.0688853	0.0213720	0.7725940	55.057	18.003	29.830	19.943	3.319	-5.362	-6.521	-5.489	89.321	-2.247	63.496	-4.852	8.159	1.136	3	0.126	3	68.337	0.000	27.682	143.267	9	1	22	0	22	5	39	0	0.0335563
87	5.42	0	0	1	0	1	12	0	-2	486.671	7.727	767.027	490.956	142.460	133.611	0.000	1495.829	4.250	7.750	0.0399140	0.0208298	0.8246611	47.280	14.939	26.394	15.030	3.474	-4.948	-5.822	-3.632	402.269	-1.556	204.448	-4.585	8.493	0.303	7	0.174	3	93.902	0.000	5.080	112.099	7	0	12	0	12	0	34	1	0.0328292
88	4.74	0	0	1	0	1	9	0	-2	374.457	8.578	633.101	203.189	190.168	239.744	0.000	1142.537	4.250	7.750	0.0643949	0.0252362	0.8348451	36.081	12.826	23.220	17.008	1.159	-3.074	-3.680	-3.973	122.576	-1.798	66.310	-5.378	8.455	0.351	3	-0.533	3	71.108	0.000	13.082	123.139	7	0	12	0	12	0	26	0	0.0426673
